# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A3D020AE	am Thursday See you then
	A1071B1C	pm Tuesday. See you then
	A0E08FEA	Cool, See you then.
	A6B95250	Until then,
	B58BC425	pm Wednesday. See you then
	B50B1603	am Friday. See you then
	B0B59550	Great.
	9374DB03	PLACEHOLDER
	8CF472F7	pm Monday. See you then
	8CC9C585	Let's meet up. I think you sound like a guy who's straight to business, no messing about. Me too. Meet in Goatherd before
	943CDC5F	Great.
	9EB992C6	PLACEHOLDER
	9E46E87F	I can't believe you'd waste my time like that. I'm not young and my clock is ticking.
	96FD1025	Nice to be hearing from you, I know what I am wanting and it is you, LickingGood. I will come on time to pick you up in Goatherd.
	B62741A8	Nice to be hearing from you, I know what I am wanting and it is you, LickingGood. I will come on time to pick you up in Goatherd.
	D5A15733	Hi Niko. It's me. Do you want to go on another date with me? How's about my place around
	CEB872C3	PLACEHOLDER
	CE12B974	PLACEHOLDER
	E1217627	Cool.
	F4D298B5	PLACEHOLDER
	E6CFFCAC	PLACEHOLDER
	E354F296	pm Friday. See you then
	C597643C	am Monday. See you then
	C27BB8DC	Cool.
	C03D1DC9	PLACEHOLDER
	C78A3B01	pm Saturday. See you then
	CBEE6D36	Sorry, you sound to me like too much of the hastle. At home I used to girls who do what I say and do it quick. American woman like you is no right for me.
	C92AF480	Sorry, you sound to me like too much of the hastle. At home I used to girls who do what I say and do it quick. American woman like you is no right for me.
	C889C020	PLACEHOLDER
	8049AC85	Hi Niko. It's me. Do you want to go on another date with me? How's about my place around
	3836A8C1	PLACEHOLDER
	35F370C6	Until then,
	31AD06DC	PLACEHOLDER
	3A8CA110	You got arrested/killed last time. Me too. Meet in Goatherd before
	44EA2D56	PLACEHOLDER
	415CDBC9	am Sunday. See you then
	40953551	PLACEHOLDER
	15202F20	Don't be late,
	0F3EF78A	am Wednesday. See you then
	064B3BA6	PLACEHOLDER
	18525C94	am Saturday. See you then
	3144449A	Cool, See you then.
	27BED45D	Don't be late,
	21F0F2F1	PLACEHOLDER
	473BC6E3	PLACEHOLDER
	683B845D	Cool.
	64B1719F	Nice to be hearing from you, I know what I am wanting and it is you, LickingGood. I will come on time to pick you up in Goatherd.
	63744BC7	Until then,
	6A322D73	am Tuesday. See you then
	7D06FEEC	Don't be late,
	7BFEABE3	Great.
	70540C9A	I got killed last time. Me too. Meet in Goatherd before
	4D99CF16	Cool.
	4B8C1BF7	Until then,
	49D56CAE	pm Thursday See you then
	54EAD212	Sorry, you sound to me like too much of the hastle. At home I used to girls who do what I say and do it quick. American woman like you is no right for me.
	5F11F206	Great.
	5A7BB9D6	Don't be late,
	583D898A	pm Sunday. See you then
