# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9DCA9811	am Sunday. See you then
	9C48169B	PLACEHOLDER
	9849B9A8	PLACEHOLDER
	AA8D5E2F	PLACEHOLDER
	C7796CFD	PLACEHOLDER
	B3A04471	Sorry baby, I no Italian. Some of you Americans so stupid you can't tell countries apart when they so much older then you.
	AD4890E7	Mmm,
	67C0B193	pm Saturday. See you then
	665302F9	Mmm,
	5AD5C697	Cool, See you then.
	68BF2DC3	am Tuesday. See you then
	940E4EEB	PLACEHOLDER
	8C4D7AAC	pm Friday. See you then
	8269E118	am Monday. See you then
	D6F7D32E	Zdravo, I am Italian like the pizza slice. Wait for me on Firefly Island GoGetter and you will get to take a bite. Do Vindenja,
	EF224058	I got killed last time. Pick me up around
	EEBEBF25	x
	EC98BB45	Hi Niko. It's me. Do you want to go on another date with me? How's about my place around
	F13EBFB5	Zdravo, I am Italian like the pizza slice. Wait for me on Firefly Island GoGetter and you will get to take a bite. Do Vindenja,
	F94705F5	PLACEHOLDER
	F843D22F	Yummy,
	F425C492	am Thursday See you then
	DEE21FD8	Hi Niko. It's me. Do you want to go on another date with me? How's about my place around
	DC94EF7F	Ohh,
	DB701888	Yummy,
	E694A970	pm Thursday See you then
	E8B7F661	PLACEHOLDER
	E7EF751D	Sorry baby, I no Italian. Some of you Americans so stupid you can't tell countries apart when they so much older then you.
	E6FD8450	Ohh,
	5A8B1728	am Friday. See you then
	217524FD	Hey, that's not very cool. I thought you Italians were all chivalrous and shit. Guess I was wrong.Have a nice life. You don't know what you missed out on.
	210E1E62	pm Tuesday. See you then
	20E5A2FE	PLACEHOLDER
	238E7D71	Ohh,
	2A228A9D	Ohh,
	28308E4F	Zdravo, I am Italian like the pizza slice. Wait for me on Firefly Island GoGetter and you will get to take a bite. Do Vindenja,
	261A2DDB	x
	0B317796	PLACEHOLDER
	0A8576B2	x
	01E4600F	pm Wednesday. See you then
	1195853E	I love a foreign accent about as much as I love a foreign car. Italian is my favourite for both, but anything European works. Pick me up around
	1A7F16A5	Yummy,
	13813A69	PLACEHOLDER
	129BDB8C	Mmm,
	2FD54161	Yummy,
	445769E1	PLACEHOLDER
	4353E8BA	You got arrested/killed last time. Pick me up around
	41EAE58C	x
	4B687316	am Wednesday. See you then
	582B8C9C	pm Sunday. See you then
	56880E42	PLACEHOLDER
	4F65FC20	PLACEHOLDER
	36812AF0	Sorry baby, I no Italian. Some of you Americans so stupid you can't tell countries apart when they so much older then you.
	35FF0BA7	Cool, See you then.
	332B4789	PLACEHOLDER
	36884956	pm Monday. See you then
	3D1BD78C	PLACEHOLDER
	39BF29D6	Mmm,
	3809D226	am Saturday. See you then
