# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	B7683485	Ладно, может, я ей займусь. Скажи честно, она тебе уже отказала? Или, может, узнала про Мэллори - ты же у нас теперь примерный муж? - Н.
	B65DAB8A	До встречи
	AD77BAA1	ЗАГЛУШКА
	C307E5C1	ЗАГЛУШКА
	BD6E373E	ЗАГЛУШКА
	BA63A127	Увидел эту девку на сайте <a href="www.blogsnobs.org">www.blogsnobs.org</a>. Она там под ником СвободнаяЖенщина. Вот чем хорош Интернет - всегда можно найти себе сучку, готовую к приключениям. Все одинокие янки должны быть благодарны Сети и телешоу "Я разбогател!" Ты должен встретиться с ней. Если бы не Мэллори, я бы давно уже тискал сиськи этой девки, а не письма тебе строчил!
	A5D99168	Знакомства через Интернет? Хочешь меня в это втянуть? Нет, спасибо, у меня и так полный порядок! - Н.
	A39A8604	До встречи
	9DA26091	ЗАГЛУШКА
	AC398523	Привет, братишка! Как классно - ты теперь тут, со мной! Покажем этой стране, кто такие братья Беллики! Друг, если бы нас сейчас видели наши отцы-полудурки! Да они бы в гробу перевернулись! А, хрен с ними. У нас все получилось, друг! Эта страна - рай для тех, кто рубит фишку. Рад, что ты здесь. Скоро мы тут будем рулить, брат!
	ABFD045A	Извини, брат. Не знаю, что и сказать. Надо было послушаться меня, а не зацикливаться на своей мести. Давай, хватит уже. Я тебя прошу.
	A9D6B798	Нико,
	F295C19F	Роман, как ты вообще можешь говорить о серьезных делах, если спускаешь все до последнего цента?
	F00F8464	Спасибо за совет.
	E523243C	Решил посоревноваться с Брюси, братишка? Давай сначала с нашим долгом разберемся.
	FE24A8F8	Пошел ты! Со мной было две девчонки. У меня никогда ничего не было с мужиками. В отличие от тебя!
	FB16DA17	Нико,
	F90830DE	До встречи
	C6D7BA5F	Слушай, братишка, попробуй позвонить Мишель! Я знаю, ты ей нравишься, так что действуй! Она классная девчонка. У тебя есть ее номер - позвони!
	C6784BBF	До встречи
	C64DF086	Нико,
	DC5E5E80	ЗАГЛУШКА
	D84EEF6C	До встречи
	D64F58FE	Черт! Мишель на кого-то работает? Мать ее... Даже не знаю, что сказать.
	98941513	Нико,
	273189AB	Брат, я так рад за тебя! Думаю, Брюси тоже будет скучать по твоей групповухе.
	2434F518	Отличные новости! Мэллори согласилась выйти за меня! Я так счастлив! У меня будет настоящая семья. Даже не верится! У нас, конечно, были трудные времена, но она меня никогда не подводила, и как только я прекратил изменять ей, все наладилось. Жду не дождусь, когда мы поженимся! Правда, теперь уж никакой групповухи...
	20CE9B92	Брат, очнись. Я наделал дел в нашей стране, напортачил в Европе и здесь тоже во что-нибудь влипну.
	369B2BFF	До встречи
	3096C512	Нико,
	2AD96BEE	ЗАГЛУШКА
	0B6DD5A9	До встречи
	096019AD	ЗАГЛУШКА
	08E0EE35	Ты придурок. Хватит спускать деньги на ветер. Дело не в везении, у тебя просто ума нет.
	1D1A5070	ЗАГЛУШКА
	1CE0DE06	Я сам о себе позабочусь. Спасибо.
	127B51A5	Настоящим письмом я произвожу тебя в миноритарные акционеры "Беллик Энтерпрайзис" (я ее президент). Мы в деле, братишка!
	73E40D15	ЗАГЛУШКА
	6EC27666	Вот придурок, ты устроил мне одно свидание с мужиком, а другое с копом. Хреновая из тебя сваха!
	615C5B9A	Просто скажи, что ты идиот и что больше не будешь сводить меня с копами.
	912A4EB1	ЗАГЛУШКА
	8BAC53BB	ЗАГЛУШКА
	7C885CFC	Нико,
	4364EAAE	Нико,
	430A0D04	ЗАГЛУШКА
	372EA9A1	Ты молодец, братишка. Конечно, жаль Мэллори - теперь ей до скончания веков придется спать только с тобой. Хотя, может, она скоро разрешит тебе привести еще пару мужиков - разнообразить ваш досуг.
	5ECEA189	Нико,
	4831CF2C	До встречи
	46C63A36	Огромное спасибо! Я догадывался, что ты не будешь против свидания с парнем - ты все-таки столько времени провел на море. Брюси очень благодарен. Теперь у нас будет вся информация. И еще, я знаю, ты разозлишься, но что-то меня опять удача подвела. Бывают такие дни, знаешь. Выручишь меня? Нет, я не спятил. Считай, что это выгодное вложение средств.
