# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	8C25366E	Неужели ты наконец-то нашел себе женщину? Что ж, поздравляю. Теперь сделай решительный шаг и откажись от своей нынешней жизни. Круг сжимается, под угрозой те, с кем ты работаешь. Не хочу, чтобы ты попал в кровавую мясорубку.
	8471BE24	ЗАГЛУШКА
	A533E3F1	От:
	99DBD1DB	Ты уже получил, что хотел. Надеюсь, ты доволен. Теперь завязывай с этим, поставь точку. Заведи семью, начни играть в гольф. Круг сжимается, люди готовы на отчаянные шаги. Тебе пора выйти из игры.
	6F70786B	От:
	6F4493CA	ЗАГЛУШКА
	7E701B04	ЗАГЛУШКА
	72757E79	От:
	A789ED37	Это твой старый друг. Хотел поблагодарить тебя за помощь. Моя компания очень рада сотрудничать с тобой. Держись подальше от всяких неприятностей. И один совет: люди из Олдерни, с которыми у тебя дела - идиоты, им нельзя доверять. Я знаю тех, кто тебе поможет.
	DAA715AA	Где тот, кого я ищу?
	D1CC4321	Чего мне бояться, ты уже втянул меня в самую грязь. Так что я рискну.
	FD2093D1	От:
	F47F8755	ЗАГЛУШКА
	BA764CAE	ЗАГЛУШКА
	B7A177DD	Нико,
	D10FF9E1	ЗАГЛУШКА
	C415A7B4	Спасибо за мудрые слова. Только вот командир из тебя плохой.
	297BEC87	От:
	242D50F3	Нико,
	45381B44	ЗАГЛУШКА
	35F2F47E	Нико,
	0B83A7D8	ЗАГЛУШКА
	09BD9C14	Нико,
	1477B188	Нико,
	0EE7375E	От:
	4548241B	От:
	6B242040	Спасибо за помощь. Очень ценю советы по устройству личной жизни, особенно от социопата с замашками диктатора. Если собираешься и дальше править миром - удачи. Без нее у тебя вряд ли получится.
	5FD5D93A	От:
	6F2266E0	Нико,
	6D027861	ЗАГЛУШКА
	5AF49643	Ребят из Олдерни я хотя бы знаю. А ты что за хрен? И где тот, кого я ищу?
	5161AB5F	Нико,
	5E40C51D	Нико,
	5C93831F	Может, и правда переехать на Ямайку? Устроиться в гольф-клуб, подавать мячики и клюшки. Спасибо! Твой совет переменил всю мою жизнь!
