# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9F6542F5	Спасибо, Брюси. На тебя я всегда могу равняться. Твой Нико.
	84DFA5C9	Слушай, у меня есть дела поважнее, чем песни по радио. Но все равно спасибо.
	A69BB336	Меня просто БЕСИТ <a href="www.our-own-reality.com">www.our-own-reality.com</a>! Я каждый день выкладываю в Интернете свое домашнее порно, а они пишут про какого-то Тайрона Хэнкока по прозвищу Башня??? Какой-то пьяный старикашка, именем которого в 1980-х назвали модель кроссовок. Кому это интересно? Вот я на прошлой неделе трахнул стюардессу, стриптизершу и девку, которая сыграла пострадавшую при пожаре в "Излечи меня".
	CFBD8579	Слышал про эту штуку? ZiT! Звонишь им с мобильного 948 555 0100, они тебе говорят название песни, которая играет рядом с тобой. Прикинь - целая толпа придурков сидит на заброшенном складе и угадывает для тебя песни! Ну или как-то еще, неважно - суть в том, что твои музыкальные способности потрясут всех клубных девок. Конечно, это не то что мой стальной пресс, огромные бицепсы и упругие трицепсы, но все-таки. Ты понял?! САМЕЦ! Я подумал, такому герою, как ты, это понравится.
	C8FB07A1	В жизни есть вещи поважнее, чем слава или крепкий брюшной пресс. Ты сбрендил, ублажая того вышибалу в "Мезонетт-9". - Нико
	734BCC97	Я люблю всех. Все классно. PS: мама, прости, я не смогу завтра поехать к тете Джудит. Ты постираешь мои вещи? <br /> PPS: вы все, заходите на мой сайт! У вас крышу снесет!
	72A60156	Да, полезная штука. Позвоню им во время твоей рекламы на радио - интересно, они узнают голос перекачанного психа на стероидах?
	73CDBDE1	Пока!
	8106680C	Просто хотел тебе сказать: сегодня я побил свой собственный рекорд по качанию пресса. 2000. Это генетическое превосходство. Ты понимаешь? Я люблю вас всех! Блин, я настолько взвинчен, я могу кому-нибудь глотку порвать! Если кто-то сегодня захочет пострелять - и не из детских игрушек - свистни мне.
	7D1FD085	Пока, брат!
	F6ACE304	Ладно, Брюси, посмотрю. Ты еще не такой знаменитый, как они, но уже такой же псих.
	F3424C82	Заходил на сайт <a href="www.our-own-reality.com">www.our-own-reality.com</a>? Что это за хрень? Почему там нет моих фоток? Что за новости светской жизни без Брюси? Я уже тысячу раз отправлял им фотографии своих тренировок! Я суперзвезда, мне нет равных, а они печатают какое-то дерьмо про мистера 2.0 Тони Мактони, мать его! Мистер-метр-с-кепкой-Тони Макдохляк! Девчонкам неинтересны карлики с дряблыми мышцами, как из мягкого сыра. Пускай попробует выжать 200 кило прессом! Я тут VIP, и никто другой - да я поимел больше моделей, чем сама булимия! Папарацци утратили нюх. Нам надо покататься по клубам и обнажить свои клинки перед светскими сучками! ВПЕРЕД!!!!
	FB2F68E5	Я посмотрю, друг. Не боишься, что тебя засудят за травлю их сайта?
	FF195011	Малыш Никки!
	FC3ACA48	Никки!
	E3239826	Чувак!
	D4DEA107	Тебе точно нужна помощь.
	E792C1AC	Все меньше времени в качалке, все больше за компьютером? Вкалываешь себе эту гормональную дрянь? Приди в себя, друг.
	F193DA71	Ты о чем?
	F16DB4BA	НБ
	19DC8A14	Пока!
	18E197C0	Нашел тут один сайт: <a href="www.vipluxuryringtones.com">www.vipluxuryringtones.com</a> Оттуда можно за деньги закачать на телефон мелодии, обои, всякую фигню. Брат, ты только достанешь мобильник, и телки сразу увидят, сколько у тебя бабла! Как представлю себе: о Брюси, у тебя такие мышцы, у тебя VIP-рингтон за сто баксов - ты АЛЬФА-САМЕЦ! Нико, ты и сам парень не промах - займись этим!
	21A78A66	Спасибо, Брюси.
	26AB3353	Что тут скажешь? Так жаль бедного толстячка. Я с ним уже сроднился. Такой близкий человек для тебя. Ужасно жаль. Не плакал с двухлетнего возраста. А сейчас плачу. В день его свадьбы. Друг, сходи покачайся или пробегись, сделай что-нибудь, только не зацикливайся на этом. Я с тобой.
	2628937C	Это просто ужасно.
	0467DF17	Пока!
	01FEE9FB	Это МОЯ реальность, брат. Тантрическая реальность, мать твою!!! Спроси любого портье в городе - я клиент высшего класса, круглые сутки. Мое имя заламинировали в списке гостей в "Мезонетт-9"! Я могу утром расквасить кому-нибудь морду на ринге, а днем прийти на педикюр. Я метромачо, приятель!!! 100% VIP, 0% отклонения от оптимального веса. Но современную прессу не интересует идеальное тело, потому что эмо-подростки могут его "не принять". Такое вот дерьмо, брат. Мир сошел с ума. Позвони на бесплатный номер - и тебя разведут. Разница на генетическом уровне.
	0B00E7D4	Чувак!
	180481E7	НБ
	0D106BFF	Чувак!
	4868E72C	Пока!
	463BDE55	Малыш Никки!
	4A4498B5	Да уж, мы не такие, как все. Я славянин-наемник, а ты псих на стероидах.
	619A197A	Пока!
	4A45FA88	Вот это мы оторвались, классно, приятель! Покатались просто отпад. Но ты знаешь, тебе надо в спортзал и в солярий, а еще раздобудь нормальный ствол. Чувак, ты хоть и крут, но выглядишь не круто, амиго. Хотя гонка была просто супер, я тобой горжусь. Мы не такие, как все, чувак!
	2BEE2E37	Пока!
	2733EF3B	Как-нибудь проживу без рингтона за сто баксов. Спасибо, Брюси.
	35648B9C	Надо посмотреть. Спасибо, Брюси.
	3C7D5EF7	Мы лучшие. Мне пора, у меня тут ожидается ночка с близняшками. С девчонками, конечно. Не с парнями. Не мой тип. Я трахаю женщин, луплю мужиков. Не наоборот.
	369C4393	Пока!
