# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	C3B386BF	Меня зовут Мистер Люк Марк-пятый. Я аудитор БАНКА НОРТ ИНТЕРНЕШНЛ, БУЛИМИЯ (ФАКТ). Я набрался храбрости, чтобы просить Вас о снисхождении и вездесущем просветлении в своем важном деле,
	CF15225A	Всегда Ваш,
	9BD4C0AA	Уважаемый сэр/мадам
	AD896413	Уважаемый сэр/мадам
	E383CB33	Всегда Ваш,
	F9DB730E	уверен, что Вы никогда меня не подведете и не трахнете мою девушку и не назовете ее толстой. Несколько лет тому назад консультант-подрядчик Американской Добывающей компании, работающей на Нигерийскую Национальную Компанию по добыче нефти и ископаемых фекалий
	FCCC7DC8	Всегда Ваш,
	EE855C62	Мне понадобится Ваша помощь для вложения некоторых средств в Вашу страну. Надеюсь на скорейший ответ
	F6A0F645	Уважаемый сэр/мадам
	89691BD3	Уважаемый сэр/мадам
	214F46CD	Всегда Ваш,
	33A16B71	Всегда Ваш,
	044D8CCA	Всегда Ваш,
	1C234165	Уважаемый сэр/мадам
	40318965	Уважаемый сэр/мадам
	76AB7658	Уважаемый сэр/мадам
	7980772E	Всегда Ваш,
	64F8D2F3	Уважаемый сэр/мадам
	67AAD383	Всегда Ваш,
