# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	B1CB5836	С наилучшими пожеланиями! Вы победитель, в отличие от ваших друзей-неудачников. Только победители выигрывают в лотерею, после чего жена бросает вас и наркотики.
	DCD78F55	Майк, менеджер лотерейного агентства
	A78154EF	Уважаемый сэр/мадам
	AC182DD3	Майк, менеджер лотерейного агентства
	E0F9C7E3	Уважаемый сэр/мадам
	F2E03B6E	Майк, менеджер лотерейного агентства
	F5F4C197	Майк, менеджер лотерейного агентства
	EB912CC8	Майк, менеджер лотерейного агентства
	EEB7635E	Уважаемый сэр/мадам
	607D46E8	Уважаемый сэр/мадам
	0AE46B6E	Майк, менеджер лотерейного агентства
	12AEAB4C	Уважаемый сэр/мадам
	002D5600	Майк, менеджер лотерейного агентства
	04180E1F	Уважаемый сэр/мадам
	2767D4BE	Уважаемый сэр/мадам
	476B0373	Благодарим за заполнение и отправку анкеты. Вы стали главным призером моментальной мегалотереи! В данный момент мы проверяем ваши данные.
	59B0A7FE	Тем временем вы должны немедленно оплатить расходы по обработке платежа и пересылке в размере 5625 евро. Это требование европейского законодательства - победитель лотереи должен заплатить налог, чтобы правительству хватало денег на сыр и женщин.
	32853AAF	Майк, менеджер лотерейного агентства
	35C57179	Уважаемый сэр/мадам
