# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A301BAF5	Извини, в этот раз не могу. - Н.
	AE056882	ЗАГЛУШКА
	A134CEE1	во вторник.
	A24B3539	Целую!
	AFA65BBC	ЗАГЛУШКА
	BE29823C	ЗАГЛУШКА
	BE3003DC	Привет, договорились. - Н.
	B43F90BF	в пятницу.
	B983DB84	ЗАГЛУШКА
	8D16C26A	ЗАГЛУШКА
	8FF7F4E1	ЗАГЛУШКА
	855F072E	ЗАГЛУШКА
	85B617E4	в среду.
	906BA6C1	ЗАГЛУШКА
	94D77B5F	Извини, в этот раз не получится. - Н.
	9F6D6717	в субботу.
	918C8BF8	Привет, милый!
	92A1B1BB	ЗАГЛУШКА
	BE4224B8	ЗАГЛУШКА
	EF57539F	Рад, что ты пришла в себя. Я заеду. - Н.
	F0A68894	ЗАГЛУШКА
	E9298EBA	ЗАГЛУШКА
	EB92C7CB	Целую!
	F5D92819	ЗАГЛУШКА
	F6EF9612	Что с тобой случилось в тот раз? Я под впечатлением. Если ты и в интимной обстановке такой же шустрый, я вся твоя! Меня не волнует, как ты провел остаток той ночи. С нетерпением жду нашей следующей встречи! Заезжай за мной в Ланкастер.
	F950E96B	ЗАГЛУШКА
	F6907993	в воскресенье.
	F6B779E5	в понедельник.
	D4291F1C	ЗАГЛУШКА
	D46B11B0	Привет, зайка!
	CB872385	ЗАГЛУШКА
	CC8BD57F	ЗАГЛУШКА
	D4CB95E0	ЗАГЛУШКА
	E85DDD2E	ЗАГЛУШКА
	E880DD78	ЗАГЛУШКА
	E014FC91	ЗАГЛУШКА
	E4E1B29D	Привет, милый!
	85035461	ЗАГЛУШКА
	2E84B9D5	ЗАГЛУШКА
	30238885	ЗАГЛУШКА
	29A7BC28	Привет, милый!
	2E234CE7	Чао!
	3285EC86	Извини, я не могу. - Н.
	3A49D157	ЗАГЛУШКА
	3B435F5F	Привет, зайка!
	38446129	Целую!
	39CB4395	ЗАГЛУШКА
	06CD761A	ЗАГЛУШКА
	1104109F	ЗАГЛУШКА
	0229ED2D	Привет, зайка!
	04D7FA55	Чао!
	127BE15E	ЗАГЛУШКА
	26F41DE7	ЗАГЛУШКА
	279F3DD5	ЗАГЛУШКА
	13AE9802	Целую!
	260D3CBF	Чао!
	42092C50	ЗАГЛУШКА
	6946243D	Без проблем, я приеду. - Н.
	6A9DB12B	ЗАГЛУШКА
	6695F569	Боже, у меня рекордное похмелье! Я очнулась в больнице, ничего не помню. Кажется, две порции коктейля из водки, антидепрессантов, шампанского и мартини - не лучший завтрак. Знаю, ты хочешь попробовать еще раз - заезжай за мной в Ланкастер.
	67DD5C2F	в четверг.
	6CBDC2AC	ЗАГЛУШКА
	7ECB66C7	ЗАГЛУШКА
	8245D97D	ЗАГЛУШКА
	747E58BA	ЗАГЛУШКА
	7B569EEA	Поздравляю, ты увидел свет в конце туннеля. Среди всего этого форумного дерьма ты нашел меня. Да, я согласна встретиться с тобой - если только ты не охотишься за девушками. В блогах все пугают друг друга маньяками, которые убивают и сбрасывают трупы в реку. Надеюсь, ты нормальный? Давай встретимся в Ланкастере, приезжай к
	4C4E84EC	ЗАГЛУШКА
	54D351E4	Ну, привет. ГДЕ ТЕБЯ ЧЕРТИ НОСЯТ? Я вызвала сиделку-азиатку, чтобы она присмотрела за моей собачкой, но в итоге весь вечер просидела с Валентино сама! В общем, я отпустила ее, платить не стала - в конце концов, тысячи потенциальных сиделок по ту сторону Гумбольдт-ривер ждут своего часа. Что касается тебя, можешь трахнуть ее или любую другую жирную сучку - на большее ты не способен. Если я шампанское, то ты - дерьмо собачье!
	462D7533	Привет, милый!
	4AA405EC	Чао!
	57615608	ЗАГЛУШКА
	5E7B25F2	Привет, зайка!
	6669BC91	ЗАГЛУШКА
	5773F943	ЗАГЛУШКА
	584A8C85	ЗАГЛУШКА
