# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A3D020AE	утра, в четверг. До встречи!
	A1071B1C	вечера, во вторник. До встречи!
	A0E08FEA	Отлично, увидимся.
	A6B95250	Увидимся!
	B58BC425	вечера, в среду. До встречи!
	B50B1603	утра, в пятницу. До встречи!
	B0B59550	Здорово!
	9374DB03	ЗАГЛУШКА
	8CF472F7	вечера, в понедельник. До встречи!
	8CC9C585	Давай встретимся. Кажется, тебя не надо долго обхаживать - меня тоже. Буду ждать в Гоутерде до
	943CDC5F	Здорово!
	9EB992C6	ЗАГЛУШКА
	9E46E87F	Из-за тебя я напрасно потеряла время. Я уже не девочка - часы тикают.
	96FD1025	Рад, что ты откликнулась, Лизалка. Я хочу тебя, я это знаю. Заеду за тобой в Гоутерд.
	B62741A8	Рад, что ты откликнулась, Лизалка. Я хочу тебя, я это знаю. Заеду за тобой в Гоутерд.
	D5A15733	Привет, Нико, это я. Хочешь встретиться? Заезжай за мной в
	CEB872C3	ЗАГЛУШКА
	CE12B974	ЗАГЛУШКА
	E1217627	Как жизнь?
	F4D298B5	ЗАГЛУШКА
	E6CFFCAC	ЗАГЛУШКА
	E354F296	вечера, в пятницу. До встречи!
	C597643C	утра, в понедельник. До встречи!
	C27BB8DC	Как жизнь?
	C03D1DC9	ЗАГЛУШКА
	C78A3B01	вечера, в субботу. До встречи!
	CBEE6D36	Извини, ты что-то слишком разогналась. У меня в родном городе девушки слушаются парней и делают все, как им говорят. Американки вроде тебя - не мой тип.
	C92AF480	Извини, ты что-то слишком разогналась. У меня в родном городе девушки слушаются парней и делают все, как им говорят. Американки вроде тебя - не мой тип.
	C889C020	ЗАГЛУШКА
	8049AC85	Привет, Нико, это я. Хочешь встретиться? Заезжай за мной в
	3836A8C1	ЗАГЛУШКА
	35F370C6	Увидимся!
	31AD06DC	ЗАГЛУШКА
	3A8CA110	В прошлый раз все кончилось арестом. Заезжай за мной в Гоутерд.
	44EA2D56	ЗАГЛУШКА
	415CDBC9	утра, в воскресенье. До встречи!
	40953551	ЗАГЛУШКА
	15202F20	Не опаздывай!
	0F3EF78A	утра, в среду. До встречи!
	064B3BA6	ЗАГЛУШКА
	18525C94	утра, в субботу. До встречи!
	3144449A	Отлично, увидимся.
	27BED45D	Не опаздывай!
	21F0F2F1	ЗАГЛУШКА
	473BC6E3	ЗАГЛУШКА
	683B845D	Как жизнь?
	64B1719F	Рад, что ты откликнулась, Лизалка. Я хочу тебя, я это знаю. Заеду за тобой в Гоутерд.
	63744BC7	Увидимся!
	6A322D73	утра, во вторник. До встречи!
	7D06FEEC	Не опаздывай!
	7BFEABE3	Здорово!
	70540C9A	В прошлый раз все кончилось гибелью людей. Заезжай за мной в Гоутерд.
	4D99CF16	Как жизнь?
	4B8C1BF7	Увидимся!
	49D56CAE	вечера, в четверг. До встречи!
	54EAD212	Извини, ты что-то слишком разогналась. У меня в родном городе девушки слушаются парней и делают все, как им говорят. Американки вроде тебя - не мой тип.
	5F11F206	Здорово!
	5A7BB9D6	Не опаздывай!
	583D898A	вечера, в воскресенье. До встречи!
