# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9DCA9811	утра, в воскресенье. До встречи!
	9C48169B	ЗАГЛУШКА
	9849B9A8	ЗАГЛУШКА
	AA8D5E2F	ЗАГЛУШКА
	C7796CFD	ЗАГЛУШКА
	B3A04471	Извини, я не итальянец. Некоторые из вас, американцев, и понятия не имеют о странах, которые на тысячу лет старше Америки.
	AD4890E7	Хай!
	67C0B193	вечера, в субботу. До встречи!
	665302F9	Хай!
	5AD5C697	Отлично, увидимся.
	68BF2DC3	утра, во вторник. До встречи!
	940E4EEB	ЗАГЛУШКА
	8C4D7AAC	вечера, в пятницу. До встречи!
	8269E118	утра, в понедельник. До встречи!
	D6F7D32E	Здраво, я итальянец до мозга костей. Встретимся на Файрфлай-Айленд, я угощу тебя своей пиццей. До виджания!
	EF224058	В прошлый раз все кончилось гибелью людей. Заезжай за мной
	EEBEBF25	x
	EC98BB45	Привет, Нико, это я. Хочешь встретиться еще раз? Заезжай за мной в
	F13EBFB5	Здраво, я итальянец до мозга костей. Встретимся на Файрфлай-Айленд, я угощу тебя своей пиццей. До виджания!
	F94705F5	ЗАГЛУШКА
	F843D22F	Мой сладкий!
	F425C492	утра, в четверг. До встречи!
	DEE21FD8	Привет, Нико, это я. Хочешь встретиться еще раз? Заезжай за мной в
	DC94EF7F	Ау!
	DB701888	Мой сладкий!
	E694A970	вечера, в четверг. До встречи!
	E8B7F661	ЗАГЛУШКА
	E7EF751D	Извини, я не итальянец. Некоторые из вас, американцев, и понятия не имеют о странах, которые на тысячу лет старше Америки.
	E6FD8450	Ау!
	5A8B1728	утра, в пятницу. До встречи!
	217524FD	Эй, это не круто. Я думала, что италианцы все сплошь и рядом благородные. Похоже, я ошибалась. Удачной тебе жизни. Уже не узнаешь, чего ты в ней лишился.
	210E1E62	вечера, во вторник. До встречи!
	20E5A2FE	ЗАГЛУШКА
	238E7D71	Ау!
	2A228A9D	Ау!
	28308E4F	Здраво, я итальянец до мозга костей. Встретимся на Файрфлай-Айленд, я угощу тебя своей пиццей. До виджания!
	261A2DDB	x
	0B317796	ЗАГЛУШКА
	0A8576B2	x
	01E4600F	вечера, в среду. До встречи!
	1195853E	Обожаю иностранный акцент и импортные машины! Особенно итальянские, но остальная Европа тоже ничего. Заезжай за мной в
	1A7F16A5	Мой сладкий!
	13813A69	ЗАГЛУШКА
	129BDB8C	Хай!
	2FD54161	Мой сладкий!
	445769E1	ЗАГЛУШКА
	4353E8BA	В прошлый раз все кончилось арестом. Заезжай за мной
	41EAE58C	x
	4B687316	утра, в среду. До встречи!
	582B8C9C	вечера, в воскресенье. До встречи!
	56880E42	ЗАГЛУШКА
	4F65FC20	ЗАГЛУШКА
	36812AF0	Извини, я не итальянец. Некоторые из вас, американцев, и понятия не имеют о странах, которые на тысячу лет старше Америки.
	35FF0BA7	Отлично, увидимся.
	332B4789	ЗАГЛУШКА
	36884956	вечера, в понедельник. До встречи!
	3D1BD78C	ЗАГЛУШКА
	39BF29D6	Хай!
	3809D226	утра, в субботу. До встречи!
