# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A730611E	~s~На некоторые письма можно отвечать, щелкая значки в правой нижней части экрана.
	9607C7FF	~s~Чтобы вернуться на предыдущую страницу, нажмите ~CANCEL~ или щелкните по значку со стрелкой влево на панели браузера.
	A76A8F72	~s~Чтобы вернуться на предыдущую страницу, нажмите ~CANCEL~ или щелкните по значку со стрелкой влево на панели браузера.
	C8715730	~s~Щелкните, чтобы ответить отрицательно.
	C298B24C	~s~Отсюда можно перейти к электронной почте, новостям, погоде, сайтам знакомств и т.д.
	937CEBFD	~s~Мигающий значок на радаре обозначает интернет-кафе.
	7CDE0C7A	~s~Ответьте на это письмо, чтобы активировать учетную запись.
	71B6FF56	~s~Чтобы завершить работу, нажмите ~INPUT_PICKUP~ или ~CANCEL~. Также можно щелкнуть по значку "LOGOUT" на рабочем столе.
	7FC76E76	~s~Чтобы вернуться на предыдущую страницу, нажмите ~INPUT_FRONTEND_PAUSE~ или щелкните по значку со стрелкой влево на панели браузера.
	89D25442	~s~Чтобы вернуться на домашнюю страницу, щелкните по значку с домиком на панели браузера.
	8676F633	~s~Для перемещения курсора используйте ~PAD_LSTICK_ALL~.
	E0C34740	~s~Чтобы завершить работу, нажмите ~INPUT_PICKUP~ или ~INPUT_FRONTEND_PAUSE~. Также можно щелкнуть по значку "LOGOUT" на рабочем столе.
	E058EDCC	~s~Для прокрутки используйте ~PAD_RSTICK_UPDOWN~.
	F0001660	~s~Для перемещения курсора используйте ~PAD_RSTICK_ALL~.
	F498614E	~s~Поезжайте в интернет-кафе.
	F2F54823	~s~Чтобы прочитать письмо, наведите курсор на имя отправителя и нажмите ~INPUT_MOUSE_LMB~.
	DEFCAD6B	~s~Чтобы вернуться на домашнюю страницу, щелкните по значку с домиком на панели браузера.
	CE0B4931	~s~Чтобы проверить почту, щелкните по соответствующей ссылке или значку с конвертом на панели браузера.
	C8A93A61	~s~Отсюда можно перейти к электронной почте, новостям, погоде, сайтам знакомств и т.д.
	D27B2F77	~s~Вернитесь в интернет-кафе.
	DB62DFD4	~s~Для прокрутки используйте ~PAD_RSTICK_UPDOWN~.
	D5BEF1BF	~s~Щелкните, чтобы ответить положительно.
	6DE684DD	~s~Вы в Интернете. Это главная страница.
	23274A32	~s~Чтобы вернуться на предыдущую страницу, нажмите ~CANCEL~ или щелкните по значку со стрелкой влево на панели браузера.
	1D0B4B21	~s~Чтобы прочитать письмо, наведите курсор на имя отправителя и нажмите ~ACCEPT~.
	2EF5FA0D	~s~Чтобы вернуться на предыдущую страницу, нажмите ~INPUT_FRONTEND_PAUSE~ или щелкните по значку со стрелкой влево на панели браузера.
	34BE928A	~s~Чтобы проверить почту, щелкните по соответствующей ссылке или значку с конвертом на панели браузера.
	3050D780	~s~Для прокрутки используйте ~INPUT_MOUSE_WHEEL_UP~ и ~INPUT_MOUSE_WHEEL_DOWN~.
	16B83154	~s~Чтобы выйти на рабочий стол, нажмите ~INPUT_PICKUP~.
	0933180F	~s~Чтобы щелкнуть по значку выхода в Интернет, нажмите ~INPUT_MOUSE_LMB~.
	04740CCC	~s~Чтобы завершить работу, нажмите ~INPUT_PICKUP~ или ~CANCEL~. Также можно щелкнуть по значку "LOGOUT" на рабочем столе.
	0B3D2785	~s~Это папка входящих сообщений. Здесь хранятся письма, которые вы получили.
	147C9244	~s~Наведите курсор на значок "WEB", он приобретет вид ладони.
	0CF7D82E	~s~Воспользуйтесь одним из компьютеров.
	59CDE07C	~s~Вы в Интернете. Это главная страница.
	583BA7B4	~s~Это папка входящих сообщений. Здесь хранятся письма, которые вы получили.
	5ECD2D12	~s~Чтобы вернуться на предыдущую страницу, нажмите ~CANCEL~ или щелкните по значку со стрелкой влево на панели браузера.
	60365C55	~s~Чтобы выйти на рабочий стол, нажмите ~INPUT_PICKUP~.
	602FA9A5	~s~Чтобы завершить работу с компьютером, щелкните по этотому значку.
	578276EE	~s~Покиньте интернет-кафе.
	3534EE4D	~s~Учетная запись активирована.
	34CD1F84	~s~Поговорите с ~b~администратором.~s~
	438FA308	~s~Учетная запись активирована.
	51F40D2E	~s~Чтобы щелкнуть по значку выхода в Интернет, нажмите ~ACCEPT~.
	487D8838	~s~Чтобы прочитать письмо, наведите курсор на имя отправителя и нажмите ~ACCEPT~.
