# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	CE2ED444	Испорченные спортсмены-миллионеры угрожают забастовкой
	B2C8E9FB	Раньше была мафия, еврейская преступность и воюющие ирландцы. В настоящее время рэкетом и наркоторговлей занимаются в основном албанские, русские, ямайские и корейские банды. Преступность в Либерти-Сити меняется вместе с населением города, недавняя бойня в ночном клубе в Хоув-Бич пролила свет на мрачный мир, где не действуют законы. Полиция налаживает связи с новыми общинами нашего города, зачастую с трудом преодолевая языковой барьер, чтобы понять, что происходит. Поэтому преступность набирает силу так, как мы не видели со времен принятия "Закона об организованной преступности" в 70-е годы.
	AEAA128D	Жизнь - это пляж, а потом ты погибаешь в яростной перестрелке
	D076974F	Насилие на пляже
	FF203D99	В перестрелке в Ист-Брокере погиб владелец ночного клуба
	E8CEC144	Владелец ночного клуба мертв, все прибрежное сообщество Ист-Брокера в панике после еще одной яростной перестрелки, случившееся прошлой ночью. Завсегдатаи русского ночного клуба и кабаре "Перестройка" пришли в ужас, когда спор между хозяином клуба и человеком, которого он явно знал, завершился убийством. Владелец, Михаил Фаустин, 45 лет, был убит вместе с несколькими помощниками, имена которых полиция пока не разглашает. Убийце удалось скрыться. Очевидцы говорят, что это был темноволосый европеец лет тридцати, среднего роста и сложения, чем почти не помогают сузить круг подозреваемых.
	DB1825D7	Преимущественно русская община Хоув-Бич в шоке. Мистер Фаустин был известным местным жителем, колоритной фигурой, хозяином лучшего клуба в округе. Он любил жизнь и оставил в этом мире жену и дочь.
	A5186AF6	"Свингеры" объявили бейсбольным властям, что они официально организуют забастовку, если город откажется сесть за стол переговоров по поводу строительства нового стадиона. Они требуют отдать предпочтение дорогим ложам и отказаться от открытых трибун. "Спонсорские и корпоративные ложи - самый важный элемент бейсбола, а мы в настоящее время не в состоянии обслуживать наших истинных поклонников. Под истинными поклонниками я подразумеваю тех, кто способен поддержать команду, покупая билеты в VIP-ложи стоимостью 50 тысяч долларов. Игрокам приятно сознавать, что их поклонники сидят в ложах с кондиционерами, выпивают 12-18 банок пива, жуют начоc и обсуждают жен друг друга", - заявил менеджер команды Генри Торнстин.
	3CC9D1D6	Биты у них есть, а вот как насчет шаров?
	335A4297	Штат Корр
	2E3AE0DD	Полиция требует выделения новых средств и ждет проявления общественного внимания к этому вопросу. Один из экспертов-криминалистов, Джимми Каст, настроен скептически. Этот хорошо известный в нашем городе специалист по организованной преступности заметил: "Банды будут всегда, в особенности там, где поток бедных иммигрантов. Но сама мысль о том, что они когда-либо вытеснят мафию, откровенно смехотворна, поскольку они никогда не будут пользоваться влиянием в правительственных и городских учреждениях. Разумеется, после многолетних нападок со стороны представителей закона мафия переживает спад, но не забывайте, что им выгодно преувеличивать степень своего упадка, чтобы их оставили в покое". Как ни крути, преступность в Либерти-Сити остается международным бизнесом - тем, в чем мы особенно сильны.
	44398809	Новые расовые стереотипы для пародирования
	85AFE03C	Меняющиеся закономерности преступного мира
	8020F7DE	Тони Дж. Смит
	796D477F	Тони Дж. Смит
