# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	B52039C0	Музей "Либертониан" радуется щедрым пожертвованиям
	B392B39D	Штат Корр
	A7E0AEF8	Музей "Либертониан" постепенно обновляется. Не удовлетворившись новой пристройкой, знаменитый трудоторговец и наследник владельцев потогонного предприятия Лайл Клиторпс пожертвовал музею своих рабочих для восстановительных работ. Клиторпс сказал: "Для завершения этого процесса все средства хороши. Помню, в детстве я бывал в этом музее. Думаю, человечество только выиграет, если повсюду в этом заведении будет видеть мое имя. Я пожертвовал всех моих "помощников" по простой причине: прискорбно, что никто не видит величие нашей пристройки и не восхищается достижениями нашей семьи". Город существует только благодаря щедрости таких филантропов, как Лайл Клиторпс.
	DB5C30A4	Тони Дж. Смит
	C442C3B2	Споры из-за видеоигр привели к убийству
	BC115B0F	Истерика зашла слишком далеко?
	9D9433F4	Тони Дж. Смит
	2540FF07	Рассвирепевший новорожденный убивает отца
	19F2B29C	Лайл Клиторпс: филантропия продолжается
	104538F5	Труп Джейвона Симсона - один из многих, обнаруженных за последнее время коронерами в Алгонквине. Он погиб не от ножа, револьвера или гранатомета - его убили видеоигры. Свидетели сообщают об ожесточенном споре, произошедшем неподалеку от игрового клуба "Видеогеддон", где зависимые от игр посетители запихивают в автоматы четвертаки, чтобы получить очередную дозу ужасов и насилия. За спором последовала погоня на мотоциклах, затем чудовищное убийство. Неудивительно, что неравнодушные общественные лидеры указывают, что причиной этой смерти стали видеоигры. Ссоры, погони на разных средствах транспорта, убийства, возрождения и новые попытки - обычные элементы видеоигр. Несмотря на то, что мистер Симсон - известный наркоман и наркодилер, не раз судимый за наркоторговлю, мы убеждены, что виной всему не комиссии по условно-досрочному освобождению, а полигоны и пиксели.
	8EE19541	Далеко не всем удается успешно преодолевать эдипов комплекс. Подобная ситуация завершилась трагедией на Роттердамском холме. Шестимесячный Джошуа Хэмптон был арестован полицией по сигналу соседа, сообщившего, что из квартиры по-соседству доносится странный шум. Полицейские нашли в квартире труп Абрахама Хэмптона (31 год), засунутый под детский пеленальный столик. Подобно Лаю и Иокасте, Джошуа и его мать уже планировали сочетаться законным браком.
	6DD7CADF	Насилие в видеоигре становится реальностью
	2A1796E7	Оживляющий и губительный эльфийский меч и погибший фанат
