# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	B4BD58A9	Русский погиб в вертолетной катастрофе
	A42B493F	Следователи ФРБ уверяют общественность, что причин для беспокойства нет. "Всем свидетелям, которые якобы видели второй вертолет, он просто померещился. Этот эффект вызван отражением света от воды. "Вспышки" - просто плод воображения. Нервозность людей ввиду обострения угрозы терроризма вполне понятна". Русское консульство согласилось с выдвинутой ФРБ версией, согласно которой произошла авария. На этом расследование закрыто. Мистер Бородин приезжал в город обсудить покупку футбольной команды "Петушки Либерти".
	D43FA14A	Т.Дж.Барри
	EDAB121A	Организованная преступность в Либерти-Сити буйствует опять. Почти каждый час река Гумбольдт выносит на берег трупы. Кто виноват в этой волне преступлений? Силы правопорядка полагают, что помимо мафии и байкерских банд, хаос сеют иммигранты из России и Восточной Европы, особенно в законопослушных сообществах Хоув-Бич, где они живут.
	EC049AB2	Русский бизнесмен погибает в вертолетной катастрофе
	9EB43E51	Русский бизнесмен, мультимиллионер Эдуард Бородин погиб при трагическом крушении вертолета чуть южнее Алгонквина. После того, как его попытке приобрести участок Миддл-Парка помешал мэр города, мистер Бородин совершил полет над Либерти-Сити в поисках подходящего участка для строительства мегаособняка. Из-за неисправности вертолет рухнул в воду. Многочисленные свидетели на берегу сообщали, что видели, как таинственный некий второй вертолет якобы стрелял по вертолету мистера Бородина. Туристка Молли Дженкинс из Сан-Фьерро так рассказывает об увиденном: "Это были вспышки, как будто из другого вертолета стреляли ракетами. Потом тот вертолет, который летел впереди, охватило пламя."
	0B5851DC	ФРБ не исключает версию криминальных разборок
	0556ED9D	Бобби Джефферсон приезжает в Либерти-Сити в рамках федеральной программы борьбы с организованной преступностью
	263F8104	Джефферсон прибывает в город в связи с организованной преступностью
	9446A27A	Тони Дж. Смит
	270F04E1	Бывший секретарь службы обеспечения безопасности Бобби Джефферсон прибыл в Либерти-Сити из столицы, чтобы дать оценку данной проблеме. Мистер Джефферсон заявил: "Мафия с давних пор наживается на честных тружениках города, это зло нам давно известно. Но мы не знаем, можно ли убедить криминальные элементы новой разновидности придерживаться порядка. Полиции придется принимать экстренные меры, иначе ситуация выйдет из-под контроля". Либерти-Сити, ты предупрежден.
