# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	D2A2F2A5	Штат Корр
	8FE3C69E	Заместитель комиссара полиции Фрэнсис Макрири стал свидетелем убийства собственного брата в парке Алгонквина. Деррик Макрири, 52 года, недавно вернулся в Либерти-Сити из Ирландии. Перед отъездом из страны он значился в списках осведомителей главного управления полиции, и следователи считают это обстоятельство вероятным мотивом для убийства. Безо всякой связи с происшедшим третий брат, Джеральд Макрири, недавно был арестован по обвинению в рэкете.
	82483E5E	Кошмарное убийство на улицах Алгонквина
	ED859C94	Судимый брат копа-героя стал жертвой умышленного убийства
	E3E178E5	Индекс BAWSAQ взлетел на 5 пунктов в связи с ростом колумбийского экспорта
	D7BC8EC5	Как это отразится на богатых?
	7D43FB62	Сегодня корреспондент "Древа Свободы" стал свидетелем эмоционального воссоединения супружеской пары из Алгонквина и их сына, который шесть лет назад потерялся в магазине ФИГЕА. Известный в олдернийском филиале ФИГЕА педофил обратил внимание персонала на бледного парнишку, спящего на одной и той же верхней кровати на протяжении трех его визитов. Мать ребенка сообщила репортерам: "Это чудо. Мы были уверены, что наш сын погиб. Мы уже даже оборудовали в его бывшей спальне тренажерный зал. Похоже, он отвык от домашнего уюта и никак не может понять, почему у нас нет пятнадцати кухонь, но все равно мы так рады видеть его снова дома".
	0FF8DBD8	Родителям предложена 20% скидка
	0F74148A	Тони Дж. Смит
	04A5F705	Матерый преступник убивает брата полицейского
	57FD7DFC	Мальчик провел в аду плоских упаковок шесть лет
	333B6241	Нервничающие инвесторы пытаются преодолеть растущий кризис финансовых рынков. Зарождающиеся рынки долговых обязательств пострадали, когда брокеры потратили слишком много средств в пятницу вечером, употребив 2,5 г колумбийского экспортного товара и выпустили более солидную, чем обычно, обойму на буфера русской стриптизерши.
	2A39CD0E	Ричи Скор
