# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	80BEB261	Под облаками и кайфом
	5480B836	Со вчерашнего дня летать самолетами стало еще опаснее: пьяный пилот чуть не угробил 200 пассажиров рейса компании "Эйр Сол" из Вайс-сити в аэропорт им. Фрэнсиса. Подозрительным показалось уже заявление пилота перед взлетом: он приветствовал пассажиров "на аборт улетайнера" и объявил, что "если вдруг сядем на воду, у тетки с места 15В есть два чумовых плавсредства". За два часа полета он становился все более шумным, бессвязно пел "кто хочет к капитану на коленки?" и кричал "банзай", "камикадзе" и "только без рук!" во время посадки. "Один раз он даже просил стюардессу принести ему пакет", - сообщил напуганный пассажир. 48-летнего отца двоих детей допросили в аэропорту им. Фрэнсиса перед отъездом домой.
	51585368	В Олдерни произошла еще одна массовая перестрелка, опять-таки с участием криминального клана Павано. НУП опять называет ее терактом. НУП затрудняется сказать, против кого направлен этот теракт - магазина "Автоэротика" или убитых бандитов. Но сообщается, что несколько подозреваемых уже доставлено воздушным транспортом из Либерти-Сити в береговой центр допросов. Эти бойни навсегда изменили атмосферу Олдерни. Участок земли по другую сторону Вест-ривер больше не ассоциируется с традиционными ценностями рабочего класса, загрязненными топями, искусственным загаром, пышными прическами, расистской маскулинностью и другими сугубо американскими, пригородными взглядами. Возможно, пора блокировать туннель Бута раз и навсегда.
	EE22A9A4	Тони Дж. Смит
	C88BF060	"Достаточно" - это сколько?
	B05730AF	В прежние времена кланы Павано, Гамбетти, Анчелотти и Люпичелла вели ожесточенную войну за возможность промышлять в городе рэкетом. История повторяется, на этот раз с участием бандитов из Олдерни, которые откололись от пяти кланов и добиваются политического паритета с ними. Кто бы мог подумать, что и среди бандитов есть карьеристы? Прежде всего - эксперт-криминалист Джимми Каст. Он объяснил нам: "Бандиты тщеславны, это война не только за финансовую власть, но и за социальный контроль над городом. Можно ожидать, что количество трупов увеличится, и только после этого наступит затишье. Бандиты из Олдерни известны своим беззаконием, и думаю, кланы так же нервничают, как окружной прокурор, предчувствуя причастность нескольких городских банд к очередному росту организованной преступности". Мэр Очоа говорит: "Мы подошли вплотную к уничтожению этой угрозы раз и навсегда. Впредь грабить горожан будет позволительно только крупным компаниям и правительству."
	4D620880	Теракт в Олдерни?
	13F59D91	Т.Дж.Барри
	0ED2DF36	НУП считает массовую стрельбу в Олдерни терактом
	0CE6D399	Подозревается клан Павано
	3DFCB7DF	Совсем как в старые скверные дни
	303D2E98	Бандитская война
	2AF6CE78	Штат Корр
