# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A8660BB8	Обвинения в эксплуатации детей продолжаются
	8E0149CA	Владелец клуба на стороне порока
	8A7F968B	Король ночной жизни Тони Принс по прозвищу "Голубой" высказался вчера после того, как оба его клуба были закрыты городскими властями. Он заявил, что не следует превращаться в аналог Среднего Запада. Мистер Принс, который уже более 25 лет владеет клубами, 5 раз проходил реабилитацию и сидел за уклонение от налогов, заметил: "Семьи в традиционном понимании у меня нет. Мне нет дела до семейных ценностей. Поэтому я живу и работаю в Либерти-Сити. Если бы я хотел ложиться в восемь вечера и мне мешал бы шум и люди, непохожие на меня, я переселился бы в Огайо. Против Огайо я ничего не имею. Бывал я там. Просто привел в пример. Либерти-Сити должен быть быть угрожающим, опасным и интригующим. А сейчас опасности в нем не больше, чем на выставке собак". Представитель полицейского управления в своем интервью сказал: "В клубах мистера Принса нарушались 8 предписаний муниципалитета, в них наверняка употребляли наркотики. Пусть скажет спасибо, что его не упекли за решетку!"
	B53BAFFB	Штат Корр
	F07B8EA1	Все это ложь. У нас работают только желающие, и кроме того, что бы вы предпочли - голодную смерть или работу за 10 центов в час? Участники пенсионной программы 401к и посетители тренажерных залов никого не накормят. Детям требуется меньше сна, у женщин лучше развита многозадачность. Это просто удачное деловое решение. Каждый год мы тратим миллиарды на рекламу и участие в ней знаменитостей, а деньги с неба не падают". Битва нравственности против завышенных цен на спорттовары продолжается. Многие спортсмены, которых спонсирует "Эрис", выступили в поддержку компании, утверждая, что каждому из них заплатили 10 миллионов долларов за ношение логотипа компании и что скандал с правами человека безбожно раздут.
	EE3D9898	Сенатор Бобби Джефферсон, прибывший в город с визитом, стал последней жертвой волны насилия в Либерти-Сити
	BD3434ED	Подозреваются зарубежные криминальные группировки
	4ECBFE26	Не превращайте город в торговый центр, просит Принс
	231DB764	Кортеж Джефферсона встретила засада
	1B8CA6FD	По-видимому, здесь, как и в любой другой отрасли, новые банды сражаются отчаяннее, чем американские, они готовы дорого заплатить за успех. Мэру Очоа придется сдержать слово и найти способ решить эту проблему. А пока беспомощные жители Либерти-Сити брошены на милость чужеземных головорезов.
	1530EA0C	Производитель кроссовок занимает твердую позицию
	2756001F	Основатель компании "Эрис" Пит Вессел наконец ответил на бурную критику в адрес эксплуатации детей провокационным сообщением на сайте компании. "Эрис" часто подвергается нападкам либеральной прессы за принятую в компании практику, особенно производственные мощности в странах третьего мира". Сайт компании можно найти по адресу <a href="www.erisfootware.com/shoes_meassage_1.html">www.erisfootware.com</a>
	4070777E	Майкл Уэйн
	32CD58A9	Мэри Уильямсон
	2DC2CB69	Бобби Джефферсон, бывший секретарь службы безопасности, прибыл в Либерти-Сити, чтобы произнести речь о росте угрозы организованной преступности в среде иммигрантов. Однако и сам Джефферсон стал жертвой: его кортеж на пути к Административному центру встретила засада, он едва не погиб. В городе совершается все больше тяжких преступлений, и люди, подобные мистеру Джефферсону в высокооплачиваемых речах задаются вопросом: "почему так происходит?". "Закон об организованной преступности" и давление, оказываемое на нее, породили новые типы преступников, уже не первый год подрывающие авторитет традиционных криминальных элементов города. Освободившаяся ниша заполняется алчными и безжалостными уголовниками из-за границы.
