# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	C574FC10	Брайс Доукинс - геененавистник
	C29DE5C8	Полиция ссылается на подозрительные обстоятельства. Еще бы!
	A089FB99	Бурная реакция заместителя мэра
	CC135DAA	Штат Корр
	D17AC439	Оконфузив родных и близких покойного, полиция объявила, что причиной недавней смерти Филипо Канталато стал взрыв внутренностей. Принадлежавший к быстро растущему сообществу пользователей веб-камер, собирающихся поболтать о красоте, моде и очищении выводящих путей своего тела, Канталато пытался опалить волосы вокруг своего "волосатого глаза", когда неожиданный выброс газа привел к взрыву в толстом кишечнике погибшего. "Такое пристальное внимание к заднему проходу нельзя назвать здоровым, - считает директор центра "Семья навсегда" Мэнди Шорен. - Оно отвлекает от по-настоящему важных вещей, в том числе и от традиционного вагинального соития".
	D0FF989E	Майкл Уэйн
	CFCDE454	Архиконсервативный политический гомофоб Брайс Доукинс вчера попал в реабилитационный центр после того, как его двойная жизнь стала достоянием гласности. Помимо жены и детей, у мистера Доукинса имелся бойфренд, с которым он встречался в квартире, арендованной на средства из городского бюджета. Всплыли фотографии, на которых мистер Доукинс целует своего гостя Берни Крейна. Мистер Доукинс сделал заявление: "Я стопроцентный гетеросексуал. Подозрительные фотографии - чистая случайность. У меня возникли проблемы с злоупотреблением спиртного, с которыми я в настоящий момент борюсь, а также зависимость от вредных привычек, вроде посещения клубов, где устраивают приватные танцы на коленях. Я люблю женщин. Посмотрите на мою жену - она всем довольна. Пожалуйста, оставьте мою семью в покое. Нам необходимо личное пространство. Я и впредь буду отстаивать свои принципы, хотя я простой человек, а работы непочатый край. Я не гей и никогда не был геем. Совсем напротив. Просто у меня слабость к грустным людям, которым нужна забота".
	17646EB7	Взрыв газа у задних ворот
	08B5C38F	Полиция нашла труп олдернийского мафиозного босса Джимми Пегорино на острове Счастья. Мистер Пегорино часто упоминался в газетных заголовках как глава могущественного криминального клана. Предположительно, он добивался паритета с пятью кланами, которые ослабли за последние годы. После недавнего давления со стороны органов правопорядка и роста насилия в Олдерни специалисты по преступности начали воспринимать банду Пегорино как претендентов, но не реальную силу. Полиция отреагировала на сообщения о крушении катера и вертолета на острове Счастья. Трех подозреваемых, которых видели на месте преступления, ищут для дачи показаний.
	01433D71	Ясное дело, виноват интернет
	1C98F54E	Шокирующий поворот событий: гомофоб Доукинс обвиняется в прикрытии собственной гомосексуальной связи
	9B59647A	Босс гангстеров Пегорино найден мертвым
	9B14A99A	Тони Дж. Смит
	628309C0	Мистеру Крейну надо где-то жить, и я по глупости позволил ему воспользоваться квартирой, ключи которой были у меня. Я не целовался с ним. Просто что-то попало ему в глаз". Мистер Доукинс в отставку не собирается.
