# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	BF48F531	Тони Дж. Смит
	B930AE7B	Горожане вздохнули с облегчением: серийный убийца найден мертвым
	A6032C93	Волк ушел по-овечьи
	CA87AFDD	Ну, что это за прозвище? Только курам на смех. Дурацкая шутка. Но из-за нее могут пострадать люди". Эдди Лоу - это настоящее имя убийцы. Он одиноко жил в Дюксе и описывал свои действия в сетевом дневнике на популярном социальном сайте MyRoom, а так же <a href="eddielowfilthslayer.blogsnobs.org">здесь</a>
	F2ECA5C8	Читай по губам: ты - п***а
	E5A005C8	Имя принесло разочарование
	DCF02D58	Ричи Скор
	9FD030C7	Серийный убийца найден мертвым. Теперь у него есть имя - Эдди Лоу
	4D934A3F	Вулф объяснил: "Это похоже на бум интернета в 90-е годы: ловишь кайф от того, что делаешь деньги из воздуха. Разбрасываешься ничего не значащими, но вескими словами на деловых обедах, в надежде, что никто не запалит". Вулф, обладатель экономического диплома, говорит, что усвоил урок и готов впредь объяснять людям, как можно пустить на ветер сбережения всей своей жизни.
	2F979D22	Пойман серийный убийца, которому никак не смогли придумать прозвище. Мертвым. За последние несколько месяцев он убил 10 человек, преимущественно бегунов и тех, кто гулял по ночам. Полиция считает, что он выбрал не ту жертву, и в результате погиб сам. Детектив Джон Аткинсон поведал корреспонденту нашей газеты: "Это страшное разочарование. Я уже собирался арестовать его. Я раскрыл это дело. Его звали Эдди Лоу, он жил в Дюксе. Известие о том, что обнаружен еще один труп, застигло меня буквально на подходе к его дому. Сценарий, который я пишу по мотивам этого дела, получит несколько иной финал - там я арестую преступника. Но в титрах все равно будет значиться "основан на реальных событиях" - это привлечет больше зрителей". Мэр прокомментировал случившееся: "Полицейскому управлению нечем гордиться. Убийца месяцами разгуливал на свободе, и никто не мог найти никаких следов, а теперь ему еще дали дурацкое прозвище - Эдди Лоу.
	260DA178	Интернет - страшное место. Каждый щелчок мышкой делает нас беззащитнее перед сетевыми аферистами, тошнотворной порнорекламой, хищением личной информации и многочисленными видами мошенничества с целью высосать вас досуха и оставить без гроша, бездомным, роющимся в мусорных баках в поисках провианта. Если вы считаете, что в интернете существуют только виртуальные опасности, напрасно. Дариус Вулф, председатель Совета управляющих Федеральной резервной системой, признался, что некий аферист выманил у него 20 тысяч долларов. Пирамида "Богатство Римской империи" обещала вкладчикам миллионные прибыли, если они смогут привести с собой других вкладчиков и таким образом дойти до уровня Сенатора или Императора. Желающие "разбогатеть" могут посетить этот сайт <a href="www.money2makemoney.com">www.money2makemoney.com</a>
	55C76678	Навыки чтения по губам от родителей к детям не передаются
	9D82E8C9	Римские руины для главы федеральной резервной системы
	6AB51CC9	Возможно, термин "чтение по губам" вам знаком. Но ученые утверждают, что уровень владения этим навыком продолжает снижаться. Дети уже не умеют читать по губам так, как 20 лет назад, что создает серьезные проблемы в дальнейшей жизни. Тревор Хоукинс, Президент Американской ассоциации чтения по губам, замечает: "Представьте себе, что вы одними губами сказали девушке, находящейся в другом углу комнаты, "я хочу тебя", а она подумала, что вы сказали "замочу тебя". Это же совсем разные вещи. Вот почему мы решили организовать конкурс чтения по губам". Предыдущий конкурс грамотного письма был упразднен после того, как компьютерные программы проверки орфографии отучили американцев изъясняться письменно без помощи компьютера. Вчера конкурс завершился скандалом: жюри несколько раз повторило одними губами слово на П, за что рассерженные участники конкурса назвали его сборищем педофилов.
	578BF49D	Штат Корр
