# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A6C3C0FC	Штат Корр
	803F03E5	Бездомный ветеран вьетнамской войны Джерри Каповиц нашел алмазы стоимостью более 2 миллионов долларов. Они обнаружились в мешочке среди мусора и отбросов на свалке Либерти-Сити. Мистер Каповиц жил возле свалки и пользовался вещами, найденными там. "До сих пор моей лучшей находкой был телевизор, да и то неработающий", - сказал он репортерам. Мистер Каповиц намерен увезти свое новообретенное богатство в Вайс-сити и открыть там оружейный и винный магазин. "Там живут настоящие мужчины, им нужны ружья и выпивка". На алмазы, найденные мистером Каповицем, сразу же стали претендовать более 100 человек. Мэр Очоа решил, что поскольку невозможно подтвердить обоснованность этих претензий, все доходы от продажи алмазов должны достаться мистеру Каповицу.
	6B5E4FF9	Группа молодых белых мужчин среднего класса, образующих сообщество приверженцев "Юнюкса", организовало травлю молодой жительницы Олдерни, которая, как оказалось, установила свободное программное обеспечение. Девушку, которая всерьез боится покушений и потому просит не называть ее имени, беспощадно гнобят в чатах приверженцы "Юнюкса" со всей страны - за то, что она дерзнула воспользоваться свободным программным обеспечением, предназначенным исключительно для мужчин.
	B19DD462	Босс гангстеров не дожил до суда
	F356A135	Что это означает для организованной преступности Либерти-Сити?
	E4DD2A4A	Жизнь под открытым небом - путь к обогащению
	C3E1C3DD	Джон Гравелли в последний раз обманул правосудие: он мирно скончался на больничной койке
	32A733BA	Криминальный авторитет Джон Гравелли, предположительно, возглавлявший криминальный клан Гамбетти, мирно скончался во сне прошлой ночью. 85-летний Гравелли последние три года провел в медицинском центре Шоттлера. Несмотря на утверждения работников прокуратуры, что это попытка избежать судебного преследования, мистер Гравелли так и не вышел из больницы после того, как попал в нее. С 1978 года он руководил деятельностью преступного синдиката Гамбетти, его клан стал одним из самых влиятельных в Либерти-Сити, соперником клана Павано. Несмотря на неоднократные попытки привлечь мистера Гравелли к суду, ему так и не предъявили обвинения в тяжких преступлениях. Кое-кто считал, что у него есть связи в правительстве, по поручениям которого он совершал некоторые преступления, но это предположение так и не было доказано. Что будет дальше с шатким балансом сил криминальных группировок Либерти-Сити - неизвестно. Скорее всего, ничего хорошего.
	0B9E907B	Один возмущенный фанат, ведущий блог из подвала родительского дома в Брокере, сообщил корреспонденту "Древа Свободы": "Девчонкам к Юнюксу даже прикасаться нельзя. Я ни за что не полечу на самолете, которым управляет женщина, и не хочу, чтобы какая-то цыпочка ковырялась в моем исходном коде. Мы нарочно создаем мерзкий интерфейс и максимально осложняем запуск программ, чтобы отпугнуть баб. Сперва они начали пить пиво, а теперь уже и вот это. Неужели в мире не осталось ничего святого? Что же будет дальше - президент в юбке? Мне осточертело общаться с девчонками в реале, где они только смеются надо мной. Чтоб у нее ядро лопнуло". Многие уже проводят параллели между этим случаем и бегством женщины-сантехника из Сан-Андреас в прошлом году.
	0547CA7E	Правило "Юнюкса": "Женщинам вход запрещен"
	43B8C25B	Оборотная сторона сексизма?
	6740FC42	Бомжу достался джекпот
	4D7B9194	Тони Дж. Смит
	4584508E	Штат Корр
