# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	6A86EC9B	Конгресс принял "Закон об ура-патриотизме"
	7BEB4D40	После ряда обвинений в грабежах, вымогательстве и рэкете, предъявленных правительством Олдерни, так называемая преступная группировка Олдерни приобретает все большую известность и ей уделяется все больше места на страницах газет. Предположительно возглавляемая бизнесменом Джимми Пегорино, эта группировка представляет собой новое явление. Ранее рэкетом в Олдерни занимались члены пяти кланов Либерти-Сити: Анчелотти, Павано, Гамбетти, Мессина и Люпичелла, которые объединились в криминальный синдикат, - Совет - что позволило им на протяжении долгих лет контролировать преступный мир города.
	404D0C7D	Соседский дозор
	65F90E6C	"Закон об ура-патриотизме", который многие считают первым шагом к восстановлению веры и гордости за свою страну, преодолел возражения историков конституции и правовых групп. Этот закон обязывает каждого, кто стал свидетелем поведения, недостойного американца, немедленно сообщать об этом властям. Примеры такого поведения - занятия сексом в какой-либо позе кроме миссионерской или наблюдение за подобным половым актом, употребление слова на букву Б, ведение взрослых разговоров в присутствии несовершеннолетних, демонстрация женской груди (в том числе при кормлении грудью), предоставление доступа к медицинской истории, налоговым документам, библиотечным карточкам, бритье лобка, упоминание названия страны всуе, упоминание президента без должной почтительности.
	89B8E594	Майкл Уэйн
	F2F831A5	Это опасно, но не фатально
	82281804	Боссы Олдерни обратили взгляды на город
	887D0469	Тони Дж. Смит
	25B5A0DA	Но недавняя волна расследований деятельности организованной преступности ослабила позиции Совета и открыла дорогу более жестокому и беспощадному подходу к преступности. Остались в прошлом дни, когда благородные гангстеры не трогали чаевые в карманах ограбленных водителей. Группировка Олдерни оставляет за собой только трупы.
	2D99D38A	На этой безумной для РЦБ неделе сначала было повышение цен, но затем последовал спад, вызвавший нестабильность. Ученые мужи получили возможность вворачивать в речи целый спектр превосходных степеней и делать вид, будто они понимают, что происходит. Один такой умник: "Это побоище. Все равно, что война. Мы видим, как снижаются абстрактные показатели, но фьючерсы держатся. Бык бежит, медведь подгребает к себе все, что может". Этот специалист запретил упоминать в статье его фамилию.
	1F74373F	В последнее время рынок лихорадило: за подъемом уже на другой день следовал спад. Теперь он стабилизировался - если идет на спад, то неуклонно. Строить графики при этом легче, работать инвестором - тяжелее. Несмотря на бойню последних дней, погибших в ней нет. Это чудо радует всех, кроме любителей кино, играющего на самых низменных чувствах. Но я уклонился от темы: экономика пребывает в состоянии свободного падения. Люди теряют работу, цены на жилье снова снижаются. Хуже того, многие состоятельные люди прогнозируют уменьшение бонусов, но пока не могут сказать, насколько.
	224A9A04	Тем не менее некоторые скептически относятся к ее истинному значению. По словам анонимного источника, "группировка Олдерни в настоящее время мелькает в газетных заголовках по одной причине: это устраивает Совет. Под прицел они попали только из-за доносов и всей этой ерунды с "Законом об организованной преступности". Итальянцам с другого берега Вест-ривер дали возможность прославиться, чтобы федералы занялись ими. Вот и все. У этих болванов нет никакого шанса дорваться до настоящей власти". Так или иначе, в Либерти-Сити есть организованная преступность.
	334F0731	Ричи Скор
	3AEF9804	Преступный синдикат Олдерни покушается на территорию влияния Совета?
	2DFBA9C4	Рынки упали, но не закрылись
	2FDBE56C	Добровольное становится принудительным
