# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	76C7B053	Возможна ли связь с терроризмом?
	6ACC988E	Интернет развращает и без того развращенное общество...
	7A840233	Джон Чесапик
	FC4F3553	Интернет-свидания приобретают популярность
	86050F36	Ваша дочь - жертва полового преступления?
	6007E2BA	Очень может быть.
	0FB28553	К 25-летнему возрасту каждый человек по меньшей мере трижды сталкивается с покушениями на растление, утверждают местные власти. Во всем виноват интернет. На каждую ученицу колледжа в нем приходится 18 извращенцев, зачастую молодых людей, которым ничто не может помешать вступать в контакты с девушками, беседовать с ними, уговаривать позаниматься вместе или сходить на концерт. "Но заниматься они намерены отнюдь не уроками", - как сказал глава министерства здравоохранения и социального обеспечения Томас Пиретта.
	04913B40	Раньше достаточно было оглушить женщину дубинкой и утащить в свою пещеру. Позже - познакомиться на танцплощадке. Еще позже - заняться оральным сексом в баре, пока вас, пьяных вдрызг, не выставили за двери. А теперь появились интернет-свидания. Это безумие охватило Либерти-Сити (как и всю Америку): молодые люди научились говорить "что-то ты не похож на свою фотографию" тысячей разных способов и обнаружили, что звонки от незнакомых - это не всегда приятный сюрприз. Некоторые правительственные организации озабочены тем, что появление виртуального мира и сетевых свиданий более чем достаточно глушит тоску одиночества, присущую людям. Они убеждены, что это верный путь к дестабилизации американской семьи и шанс для террористов проникнуть в нашу страну с черного хода.
	1DF821DE	Эти хищники вступают в контакты с жертвами за пределами учебных заведений и даже в них, приглашают девушек к себе в гости или на вечеринки, где подают спиртное. У юношей на уме только одно: поскорее забраться в тугие трусики. У них текут слюнки при одной мысли о красных ленточках стрингов. Уф! Это возмутительно, считает Пиретта.
	3079A77C	Один из представителей власти (он отказался разглашать свое имя из опасения "раскачать либеральную лодку"), заметил: "Рост популярности интернет-свиданий - доказательство тому, что наши враги побеждают. Мы должны вернуться к старомодным способам знакомства, к бабкам-свахам и к состязаниям, вроде "кто быстрее построит дом". Я дважды развелся потому, что ошибся в выборе жен. Ни в коем случае нельзя позволять компьютеру выбирать вам жену. Компьютеры полезны, они помогают наводить ракеты, но к воспитанию детей их привлекать нельзя. Каждый раз, когда кто-нибудь находит свое счастье в интернете, терроризм выигрывает еще одну битву. Сайты <a href="www.love-meet.net">Love-meet.net</a> и <a href="www.craplist.net">craplist.net</a> никак не прокомментировали это заявление.
	2174C0DB	Юджин Уайт
