# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	A84453B4	Переправа для террора?
	786E47EB	В последнее время я часто пишу о потенциальной связи между интернет-свиданиями и терроризмом. Сейчас социологи предупреждают о новой опасности - депрессии. Отчаянные люди не могут справиться с ней, когда узнают, что человек солгал о себе, чтобы заманить ничего не подозревающего собеседника на свидание. Сюрприз? Ложь в сети? Кто бы мог подумать? Я - никогда, потому что я консерватор по натуре, а мы не лжем. Но я знаю, что большинство людей на это способны. Будьте осторожны, посещая места, вроде <a href="www.love-meet.net">love-meet.net</a>.
	D39E346A	Джон Чесапик
	EF6501B2	"Уизел Ньюс" так не считают. Если мэра угораздит открыть мосты, ему и президенту следует предъявить недвусмысленный ультиматум. Если в Либерти-Сити произойдет очередной теракт, ответственность за него понесут все США. Мы начнем метать дротики в карту и бомбить все страны подряд, и остановимся только после того, как будем удовлетворены. На разнузданное насилие следует отвечать таким же разнузданным насилием.
	EA9491DE	Интернет-свидания приводят к депрессии и терроризму
	54BEA76E	Юджин Уайт
	060958F9	Связь между депрессией и терроризмом хорошо известна, у большинства террористов выявлена депрессия, и наоборот. Это естественное следствие гегемонии либералов и упадка гражданского общества начиная с поколения эгоистов-шестидесятников, которые погубили нас и дали надежду нашим врагам. Эту надежду я выбил бы из них с помощью бомбы, и точно такую же бомбу сбросил на все сайты знакомств, а затем заставил бы людей учиться вести себя в обществе и приобретать приличные манеры. Это война, Америка, и в этой войне я намерен победить. Это война с трусостью будет предметом моей следующей книги.
	03922A0C	В прозвучавшем сегодня заявлении мэр Хулио Очоа признался, что он подумывает поддаться общественному нажиму и вновь открыть мосты, отделяющие восточные районы от Алгонквина, несмотря на непрекращающуюся угрозу терроризма. По этому поводу жители города, живущие в пригородах, давно спорят с властями. Власти утверждают, что любой объект, способный стать мишенью, должен быть закрыт по закону о военном положении. Мэр Очоа предложил открыть мосты, какими бы ни были последствия. Стоит ли платить такую высокую цену за комфорт?
	12CD4846	Позиции Очоа слабеют
	52416778	Мэр поддается давлению, как распоследний слюнтяй
	48E8D496	Факты налицо
