# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9755727F	Новые жертвы насилия на объекте Юсуфа Амира
	86E54731	Угроза террора!
	C00E7CB0	Лесли Митчелл
	E3B4EB62	Коррупция по-прежнему препятствует строительству
	D2ED67AD	Категория 8, "серая"!
	75AE7754	Юджин Уайт
	2954CE27	Новые жертвы профсоюзов
	244D53F0	В городе хаос: НУП повысил уровень угрозы терроризма в Либерти до новой отметки. НУП объявил угрозу восьмого, "серого" уровня, занимающего промежуточное положение между седьмым, "красным", и девятым, "черным". При угрозе восьмого уровня гражданам следует опасаться новых видов терактов, доступных террористам XXI века помимо уже имеющихся в их распоряжении.
	35FCF74F	НУП особенно активно предостерегает нас против угрозы нападения на американскую нравственность и патриотизм, в том числе против СМИ-терроризма и кибертерроризма. Америка сама решает, что хорошо и что плохо. Выражение антиамериканских мыслей и настроений - одна из форм терроризма, которая заслуживает соответствующего отношения.
	6AD720BF	Не удовлетворившись убитым духом предпринимательства, некоторые профсоюзы прибегли к насилию. Недавнее кровопролитие на строительном объекте Юсуфа Амира в Касл-Гарденс можно объяснить только одним: коррупцией, типичной для строительных профсоюзов Либерти-Сити. У так называемых жертв этой бойни было полуавтоматическое оружие! Автор не хочет проявлять неуважение к мертвым, но думаю, главари этих бандитов имеют дело с бетоном лишь в тех случаях, когда бетонируют ноги жертв и бросают их в Гумбольдт-ривер. Они пытаются выжить иностранного бизнесмена и позорят нашу великую страну.
	60000B11	Разве мы можем вступить в конкурентную борьбу на мировом рынке, если наши профсоюзы возглавляют бандиты, потрясающие оружием и выдвигающие неразумные требования минимальной оплаты и медицинской страховки? Единственный способ вести бизнес в этом городе - упразднить профсоюзы и отменить какой бы то ни было контроль на рынке труда.
