# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9EA6B79D	Лесли Митчелл
	7E9E3611	Новый виток спирали саморазрушения Керри Макинтош
	7DB51A38	Смазливой мордашки и анорексии уже недостаточно. Знаменитость, уткнувшаяся лицом в собственную блевотину, способствует продажам лучше, чем сотни фотографий довольных своей благотворительностью лиц". Макинтош считает, что в ее рецидиве виноват реабилитационный центр и планирует подать на него в суд. Она говорит: "Я пыталась быть хорошей, и потерпела полное фиаско. Я по-прежнему эгоистичная идиотка, но в этом виноваты они, а не я". Мы желаем ей всего доброго.
	FF4DDF3B	Есть только один способ: они должны перенять наш образ жизни. Научиться ненавидеть всех и вся, даже соседа по дому. Торчать целыми днями в четырех стенах, валять дурака, не читать газет и не общаться с политиками. Вы с этим справитесь, нелегалы - вы станете такими же, как мы. Мы хотим, чтобы вы были на нашей стороне. "Уизел Ньюс" поддерживает "Закон об идеологическом внушении", в настоящее время представленный конгрессу: согласно ему, все нелегальные иммигранты должны быть собраны в воспитательные лагеря, где они будут часами смотреть телевизор, есть дрянь из "Клакин Белл" и "Бургер Шот" и становиться апатичными. Когда закончится окукливание, с проблемой нелегальной иммиграции будет покончено раз и навсегда.
	EBD6384C	Они повсюду, куда ни глянь - не белые, готовые выполнять вашу работу за половину вашего жалованья, без жалоб спать с вашей женой, работать по дому вместо того, чтобы напиваться и смотреть футбол. Как нам отделаться от этих людей, у которых и трудовая этика, и музыка превосходят нашу, и при этом они даже не гомосексуалисты, не преступники и не психопаты?
	D7BCB8EF	Юджин Уайт
	3460E1D7	Кто отвезет меня домой на этот раз?
	2438E745	Спираль саморазрушения Керри Макинтош, движение по которой ускорилось за последние несколько недель и стало сенсацией, вышла на новый виток: прошлой ночью супермодель покинула роскошный реабилитационный спа в Лос-Сантосе, выдержав всего трое суток четырехдневной программы реабилитации. Всего через час после объяснения папарацци, что "реабилитация - это унизительно", Макинтош под действием коктейля из выпивки, колес и кокса врезалась в стену ресторана "Вигвам Бургер".
	186F1120	Кто остановит обрушившуюся на нас волну?
	60F58232	Волна нелегалов захлестывает Америку
	412FD582	Знаменитость в беде, никто не удивлен
	34E708A1	Некий очевидец пошутил в разговоре с репортерами: "Давненько она не подходила к еде так близко". С тех пор, как всплыли фотографии, на которых стриптизер втягивает кокаиновую дорожку с ее попки на вечеринке "Кулак любви", похождения Макинтош стали постоянным предметом обсуждения в желтой прессе, а ее карьера вышла на немыслимо высокий уровень благодаря новым контрактам с компаниями "Макс Ренда", "Ле Шьен" и "Венир". Вице-президент по маркетингу компании "Макс Ренда" объяснил: "В наши дни девушкам нужны неоднозначные образцы для подражания.
