# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	859F4B85	Мы побеждаем в одной войне - против веселья
	A2C64B6F	Обувные либералы!
	56B8A3F9	К счастью, мы проигрываем не по всем статьям. Мы почти выиграли одну войну: индустрия развлечений практически побеждена. Вчера Тони Принс заметил, что Либерти-Сити превращается в торговый центр. Очень вовремя. Чем раньше мы закроем все ночные клубы, тем лучше. Веселье можно остановить, и мы это докажем.
	5C01FE4A	Увы, защитники деревьев согласны увидеть жителей стран третьего мира скорее безработными и бездомными, чем работающими на преуспевающую компанию. Индонезийский ребенок вряд ли поблагодарит обвешанного дредами хиппи из среднего класса за то, что тот лишил его единственного источника дохода и вынудил снова встать на путь криминала, вернуться к проституции и каннибализму.
	C23B7EC6	Юджин Уайт
	F3F14825	Пострадали ночные клубы, так им и надо
	A7D8165D	Джон Чесапик
	B4735F6D	Находятся стратеги, которые говорят: "Мы должны сосредоточить внимание на этой войне. Нельзя повторять ошибку нацистов и пытаться вести войну на два фронта. Сначала победим развлечения, а затем и все остальное, что нам ненавистно, - к примеру, Европу."
	4A4F5AE5	В интернет-послании, которое наносит удар прямо в сердце либерального манифеста, Вессел ставит ребром вопросы, которых уже давно избегает наше политкорректное общество - например, "что бы вы предпочли - голодать или работать за 10 центов в час?"
	1E496B65	Во-первых, если люди приезжают в нашу страну, они должны приспосабливаться к нашим обычаям - толстеть и любить дрянные сериалы. И еще - учить наш язык, даже если мы сами с трудом владеем им. Они не должны собираться в Хоув-Бич, где русских больше, чем в отдельных районах Москвы. Если эти люди представляют такую угрозу, почему бы нам не закрыть границы для всех? Я призываю закрыть границы перед этими ублюдками. Помните: девять террористов из десяти - тоже иностранцы.
	1FA80597	Долгие годы боящиеся работы левые обвиняли производителя кроссовок "Эрис" в размещении предприятий в странах третьего мира. По традиции прозорливый основатель "Эрис" Пит Вессел хранил молчание, отказывался опускаться до уровня вегетарианцев-лицемеров, которые охотно получали бы социальное пособие от того же правительства, которое они презирают. Но после многолетнего молчания Вессел решил выступить против многословных и фанатичных борцов за права человека.
	0BE24697	Бобби Джефферсон изменил себе, похвалив одних иммигрантов и обвинив других в своей речи, произнесенной во Административном центре. Он утверждает, что 99% приезжающих в страну - это честные люди (кстати, я не прочь взглянуть на источник этой статистики) они верят в то же, во что и патриотично настроенные американцы. Затем он заявил, что помимо терроризма, наибольшей угрозой для безопасности американцев в настоящий момент являются гангстеры, прибывающие в Либерти-Сити из России и стран Восточной Европы, торгующие в таких иммигрантских общинах, как квартал Хоув-Бич.
	1241359D	Оставьте "Эрис" в покое
	2E2E2F7F	Эти чувства взаимны
	444211F8	Лесли Митчелл
	2954CBA3	Иностранцы нас ненавидят
	2A2F0D34	Бобби Джефферсон внушает ужас
