# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	BFBE529D	Сквернословящие подростки испортили семейное развлечение
	BBBEB7B7	Вожделенная тога
	A80F42FD	Похоже, никто не в силах устоять перед соблазном "быстрого обогащения", которое обещает нам интернет. Блестящий экономист и председатель совета Федеральной резервной системы Дариус Вулф признался, что вложил в одну интернет-пирамиду 20 тысяч долларов. "Как только я получил спам под заголовком "Уникальное деловое предложение", я понял, что должен узнать все подробности, - признается Вулф. - Я никогда не мог удержаться от рискованных инвестиций". Приводим ссылку на этот сайт: <a href="www.money2makemoney.com">www.money2makemoney.com</a>
	E27EBDF8	Как это могло случиться?
	DBDCD44E	Всем нам случалось говорить одними губами что-нибудь вроде "пойдем отсюда", или "я тебя убью", или "Гарри, скорее, пока муж не вернулся". Но чтение по губам необходимо не только для проявлений супружеской неверности. Это фундаментальная часть учебного процесса, в этом году ее роль была отмечена на конкурсе чтения по губам.
	C7812B97	Сотрудники "Уизел Ньюс" говорят достаточно отчетливо. В Англии этим словом пользуются постоянно. В наше время его часто используют как завершающий аргумент в споре, самое веское и последнее доказательство. О том, будет ли продолжаться конкурс чтения по губам, ничего не известно.
	198FAD71	Юджин Уайт
	0FB828FD	Джон Чесапик
	09E0B05D	К сожалению, то, что должно было стать семейным развлечением, завершилось скандалом и сеансами психотерапии. Родители и организаторы ужаснулись: в ходе инцидента, названного "слово на букву П", рассерженные ученики назвали жюри сборищем педофилов.
	95760B30	Дипломированный экономист стал жертвой экономической пирамиды
	63F180B8	Ругань вошла в число самых прочных американских традиций
	42908204	Несмотря на безосновательные обвинения Вулфа, пирамида "Богатство Римской империи" - главный спонсор "Уизел Ньюс", и мы не позволим какому-то кретину клеветать на нее. Жизнь полна риска, и даже если пропадают целые цивилизации, это означает, что у нас растет рейтинг и появляются новые спонсоры.
