# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	8D5FE66E	ТЕЛ - 265-555-2423
	AC9A4755	2003 ФЕЛЬЦЕР 3.8 наддув V8
	CB95B99B	Шикарный "черный металлик", литые диски, автоматические передние фары, вся электрика, CD-плеер, центральное управление замками, все в отличном состоянии.
	64BFE4C8	2001 ТУРИЗМО 4.0l 4-кам V8
	7DBC4723	42999$
	8A58E05C	ТЕЛ - 265-555-2423
	F4910470	2006 PMP600 600ci V8 Semi
	F73A09BE	2001 БАНШИ 300ci V8 двойной турбонаддув GT
	FC5D1B39	АКПП, дизель, 8000 миль, "серебристый металлик", сиденья кожа, АБС, кондиционер, литые диски, CD с мультичейнджером, круиз-контроль, подогрев сидений, многофункциональный руль, навигация, парктроники.
	D06B4346	2-дверный, РКПП 5 скоростей, бензин, 26 тыс. миль, "красный россо", регулируемые сиденья, литые диски, CD-плеер, центральная система запирания дверей, электрические стеклоподъемники, кремовая кожа. Задний спойлер и АБС.
	E154E519	АКПП, 37 тыс. миль, "серебристый металлик", кондиционер, АБС, литые диски, круиз-контроль, полная история техобслуживания, кожаные сиденья.
	EE55BA40	СМОТРЕТЬ МАШИНЫ
	61168DD8	62995$
	1EF2C658	СВЯЖИТЕСЬ С НАМИ
	22CBE0E5	2001 ШАФТЕР 6.5l V12 SC
	245AEB24	4-дверный, РКПП, 26 тыс. миль, "бирюзовый металлик", гарантия на детали и изготовление - 12 мес. Страховка. Предоплата - 0%. Подробности - у Дерека. Лицензированный кредитный брокер. Подробности письмом.
	00022197	ГЛАВНАЯ
	0631AED2	Регулируемые сиденья, кондиционер, литые диски, CD, центральное управление замками, электропривод зеркал, стеклоподъемники, полная история техобслуживания, кожаный салон, противоугонка.
	08DCAD03	2003 ИНТРУДЕР 4.3l V8 огранич.
	2FDB3E02	Кондиционер, сигнализация, бампера в цвет кузова, подушка безопасности для водителя, электропривод внешних зеркал, 1 предыдущий владелец, CD и кассетник, нулевая. Все вопросы и просмотр - с 8 до 21.
	377D3AAA	130995$
	54064355	2004 ПРЕЗИДЕНТЕ 4.5l V10
	25F0B05F	ТЕЛ - 662-555-0147
	26BB9927	ТЕЛ - 265-555-2423
	2AB10C5B	СПРАВКА
