# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9AF6ED4C	Натурал, прямо по библии
	95EB1D0A	У меня в кармане пушка, и я рад тебя видеть
	9D738808	Люблю тусовщиков, да! У-у-у!
	9D4656D9	Есть бананы с кожурой
	9375F872	НикоЛиберти
	92DDFFFD	?
	93F30227	26
	93E3E00F	Когда в наше время люди во всем видят гомосексуальный подтекст.
	9EA125A3	Крупное
	AAFBF244	Искусство, литература, широта взглядов
	A50DA45C	42
	AFCBB119	БыстрыйРуперт
	AD38CDB4	Не люблю, когда меня обманывают. Я стараюсь быть честным с людьми и жду от них того же.
	A114F97C	Гей
	9F5FC094	Люблю творить, читать, играть на гитаре - не выступать, а просто играть для себя. Люблю зарубежные фильмы и комиксы, но не хочу, чтобы меня обзывали "ботаном", потому что мозги у меня есть, а пить пиво, любить спорт и быть винтиком совсем не обязательно.
	A5029B87	Том Француз
	A2BB55B2	Мне нравится хорошо выглядеть и слышать, как мне об этом говорят. Когда тратишь время на свою внешность, обязательно надо, чтобы тебя хвалили. ЛЮБИТЕ МЕНЯ.
	90A12317	Дрочинг, особенно малоизвестный вид спорта - экстрим-дрочинг: "или мы, или нас". Мы дрочимся в экстремальных обстоятельствах, в горах или в бурю. Впечатлились? И правильно. Еще люблю разводить пчел ("апикультура"). Надо мной ржут, а девчонкам нравится маска и здоровенные перчатки.
	71551AF2	Агрессивность северян (шучу, мы же все теперь братья!)
	6F47EEC8	Я беззащитный человек, которому нужны объятия сильных рук. Обо мне надо заботиться, говорить мне, что я единственный и другого такого нет в мире. Бабла у меня хоть отбавляй, я хочу потратить его на первого, с кем познакомлюсь. Слушай, парень, капусты у меня столько, что хоть салат-бар открывай. Если будешь со мной - ешь, сколько влезет. Такие дела.
	7975AA4A	Да, и побольше! У-у-у!
	718A5445	Говорят, в сети некруто. А я говорю, крутизна - она и в интернете крутизна.
	6B87F94D	Людей, которые считают, что рисовать на пчелах маленькие свастики - это неправильно. А что? Что такого-то? Что, и змей нельзя щекотать? И барсуков дразнить? Что вообще значит "неправильно"? То же, что и "правильно", только две буквы лишние - подумаешь!
	68CE3A1A	Не качаюсь и вообще
	6ED437EA	30
	6BC92915	МАЛЬКОМсекс
	7C4D24E8	Либерти-Сити
	8BB84ECF	Натурал
	8B814BB4	Пиво и тусовки! Круто! Обожаю моего пса, говорю с ним. Его зовут Хэмиш, потому что моим дружбанам нравится звать его "чувак Хэмиш", и я в отпаде, клево.
	9064B105	У меня было суровое детство, но это не значит, что я остался без образования. Я учился на улицах и по книжкам, а не сидя в классе. Я не всегда паинька, но люблю маму и ни к одной женщине не относился неуважительно.
	8CF33CFC	28
	81961368	Мне нравится обращаться с женщинами, как с леди. Каждый человек по-своему красив. Я вижу это. Каждая женщина - нежный цветок, который надо сорвать и показать миру.
	7E7FCE82	Трой Хардер
	8845E20E	Полковник Каддлз
	843F79AF	С моим оружием и твоей грудью весь мир будет у нас в кармане
	E9974648	Пиар
	E92B4598	Не очень-то я люблю людей, которые не черпают уроки из истории, которой мы должны гордиться - это просто от лени. Если бы Джордж Вашингтон интересовался только сувенирными лавками, разве он добился бы всего, чего добился? - Да ни в жизнь!
	EC238CFF	Знаменитостей. Славу. Когда меня балуют. Подпевать в мюзиклах. Всякие обычные вещи. Я часто слышал, как люди толкуют про какую-то "работу". Это не по мне. Врать не стану: мне нужна свобода. Но поскольку выходить с тобой в свет непросто, может, будешь платить мне за это? Ты не пожалеешь ; )
	EBC2E7C0	Последние 10 лет я ищу того, с кем снова стану прежним. Я объездил всю Европу, прибыл в Америку, но так никого и не нашел.
	E6111946	Стильные бары, шикарные клубы.
	E553330A	Горячий
	E863D3ED	Алгонквин
	E84D055A	Женщин, которые умеют одеваться и знают, что надо мужчине. Люблю баскетбол и когда простыни пахнут возбужденной женщиной. Люблю, когда женщины наслаждаются - поэтому я здесь.
	EC50111A	Дрянную обувь. Дурацкие прически.
	F8CBE2D6	Я приехал в Либерти-Сити, чтобы кого-нибудь найти, возможно, тебя.
	F899BE57	Люблю стихи, ванны, диско, ехидные ответы на безобидные вопросы.
	FD642F80	Я простой парень. Мне дороги родные и близкие. Я хочу добиться успеха здесь, в этом городе. Я не жадный. Считаю, что только упорной работой можно хоть чего-то достичь. Ищу женщину, которая остановит меня, если я собьюсь с пути, и поможет сделать верный выбор.
	FA155C8E	Спортивная
	F0896450	Алгонквин
	EC528FF6	Натурал
	F85DE3D5	Библиотекарь
	F47CA04A	Гей
	E34F49DC	Алгонквин
	BA67B959	Марк Теннинч
	B89DCB7C	39
	C129E585	Я родился в джунглях Южной Африки и жил там, пока не пришли белые люди и не выгнали нас из естественной среды обитания. Я отправился на север, научился пользоваться примитивными орудиями, и спустя некоторое время стал аниматором.
	BEB67083	Аспирант
	B177D64E	Корявые шары. Людей, которые берут деньги, линяют и думают, что их не найдут (шутка). Горячих цыпочек, сиськи и всякую натуральщину. "Следующую американскую топ-шлюху" - вот если бы сняли передачу с мальчиками по вызову, может, я бы и глянул.
	B083D41E	Студент
	B67BE03A	Людей с материальными проблемами, борцов за права толстяков, эстетически неполноценных. Сколько в Америке нищих, жирных уродов! Словом, ты все понял. Если хочешь встречаться со мной, готовь ухоженную внешность и денежки!!!
	B5EECF0F	Торчу в каком-то жутком пригороде, где никому нет дела до искусства, культуры и так далее, - ни до чего, кроме коробок с пончиками из "Расти Брауна" и долбаных видеоигр с месиловом. Ищу того, кто не набивает холестерином место, предназначенное для души.
	C18D549C	МилБеллик
	D982433F	Дорогой, обо мне узнаешь все сразу, когда придешь на свидание. Если я отвечу, то тебе понравится, можешь мне поверить. Но если ты какой-нибудь жирный ничтожный старикашка, которому только "Бургер Шот" по карману... знаешь, что тогда? Том Француз пожелает тебе всего хорошего. Обожаю деньги и накачанные мышцы.
	D7029669	Чисто американский пресс
	E2124E0A	Студент
	DFFDB33D	Застенчивых женщин. Женщин, которые отгораживаются от мира и новых впечатлений. Женщин, которые вздрагивают, когда мужчина берется за видеокамеру. Женщин, которые не верят, когда мужчина говорит: "Нет, в интернет это не попадет, поверь мне".
	CA316EA3	21
	C1E28703	Брокер
	D5CF9EE1	Всех, кто считает, что человек рождается в цепях угнетателей и никогда ничего не добьется. Всех, кто верит в ложь про правящие классы. Тех, кто не крутой. Тех, кто динамит.
	D52162C1	Американскую мечту. Работу с девяти до пяти, людей, которые угрожают моим родным.
	19A12683	Женщины, которые попирают мою свободу абортами и растительностью на ногах. Гибридноприводные машины. Бедняков, которые не желают ударить пальцем о палец. Надзор за ношением оружия. Жирных режиссеров, которые ненавидят свободу. Большой медиа-заговор геев.
	1966A3FF	Я честный и прямой парень, который ищет женщину. Строго женщину.
	1C07A911	На портале "LoveMeet" низкая самооценка знакомится с неуверенностью. Одинокие женщины - ищите меня здесь.
	1A38B796	Бохан
	163E7B4B	Тупые приколы "не для всех"
	15A89E66	Потаскун
	16A79E81	Класс! Да!!!!!
	168FE1DF	Девушки, которые не боятся дать волю себе и своим самым основным инстинктам. Девушки, которые умеют безумствовать и достигать пика сексуальной энергии. Приветсвую гибкость, открытость, заниженную самооценку, желание быть рядом с парнем, мужем, отцом.
	1CE0ACDA	Педагог
	27B406C8	Старая добрая гетеросексуальность
	263B5CB4	Я аспирант, специализируюсь на СМИ, пишу диссер о позитивном и ценном мессидже "приятельских фильмов" 80-х гг. Ищу женщину, которая не слишком увлекается всем девчоночьим, любит смотреть фильмы про гладиаторов, носит предпочтительно короткую стрижку. Еще лучше, если у нее есть брат, с которым можно ходить на рыбалку.
	2A6F47F3	Сладкий папочка
	28461F4E	Как Америка может быть такой тупой
	1F174153	Либерти-Сити
	1D48A2F4	Спортивная
	20650DED	Баскетбол
	1F360B9B	Мощные бицы (это не оружие, а мышцы)
	1561BB01	Я увлечен политикой, ищу женщину, которая разделяет мои идеалы. Я считаю, что каждый американец заслуживает свободы водить свой внедорожник, ездить из пригорода в офис с "подковой", работать шестьдесят часов в неделю на босса, которого он никогда не видел, и знать, что хорошо оснащенные вооруженные силы уберегут его 46-дюймовый экран от наркоманов, сидящих на крэке.
	07D6F811	Спортивная
	03BA97B3	Ну что тут долго рассказывать? Я работаю гидом и педагогом, рассказываю людям о богатой событиями истории нашей страны, о братоубийственной войне, когда военно-промышленная мощь противостояла теплу домашнего очага и непоколебимой убежденности в неравенстве негров.
	0A97E6B0	Никмейстер
	0A6085C3	О-ля-ля!
	019AD059	Девушки. Гибкость.
	0076DB31	24
	03927A66	Когда мне не звонят. Безвкусную одежду. Дрянную обувь. Дурацкие прически. Отстойную музыку. Дряблые тела. Пустые ночные клубы - если они пусты не потому, что слишком круты для простых людей. Если так, тогда все окей.
	021338E6	Стильные бары и шикарные клубы. Возможность делать все, что нравится, целыми днями, и проводить ночи в мужских руках. Английский акцент, итальянскую кухню и танцоров-латино (по отдельности или все сразу). Тренажерки.
	0B3CF0BD	21
	0FB379AE	37
	0E070F27	Организатор сборов средств на политику
	151F2D7B	Брокер
	127E7220	Моя истинная страсть - гражданская война в Америке, я ищу мою маленькую солдатскую женушку.
	0C770C2F	Людей, которые не умеют вовремя остановиться. Назойливых женщин, которым плевать, что ты весь день проторчал в библиотеке и ничего не можешь, потому что ты не робот, черт подери!
	0B829A2A	Дюкс
	0CBADDFE	Черный Матте
	0CA2CE05	Мне нужны сильные руки. Накачанные дельтовидки, широчайшие мышцы и трицепсы обязательны! Деньги. Купюры, детка! И вся херня. Мужчины, которые позволят мне платить по счетам. Брюлики. Тела. Черт, да! Не возражаю и против тех, кто употребляет тестостерон бычьей акулы - главное, чтобы у них были забавные персики.
	512E2580	Брокер
	4EC954E6	Гей
	5B149EA7	Мне говорили, что у меня красивые глаза и шикарная задница.
	516F0615	Доминантный самец
	4AA39F2B	Аниматор
	4A6DA47B	Не надейся "познать" меня
	4E19D0F2	В свободное время я участвую в реконструкциях знаменитых битв войны между штатами, мы разрешаем женщинам одеваться женами и сестрами милосердия! За участие мы взимаем небольшую плату, и я всегда говорил: если бы армия была такой - мы положили бы конец войне! И это была бы трагедия.
	4DEE5455	Робкие женщины.
	5C139269	30
	5FB0A298	Не считаю, что внешность имеет значение
	5FA97411	Аббревиатуры. Преуспевающие корпорации, которые наверняка будут преуспевать. Судей-мужчин. Повернутых на звездах режиссеров боевиков, которые любят пиво и не боятся рассуждать о своих религиозных убеждениях. Дорогие тачки и дешевый бензин.
	620C159B	МалышВилли
	5FDFB0F0	"LoveMeet" лучше общественных туалетов: только здесь можно анонимно найти, с кем потрахаться.
	5C2FAB77	Предприниматель
	5C215B59	21
	5DC95DD0	Американский военный империализм. И моего брата, который вечно называет меня "богемным придурком" - тупарь полный. Он думает, что девушкам нужен идиот, который может в одиночку выдуть бочонок пива. Как он меня бесит!
	5C37F0E8	Угнетателей
	44C1394B	Не хочу входить в какую-нибудь "категорию"
	317297A4	Люблю тусоваться, когда не занимаюсь, просто хожу в клуб и расслабляюсь, провожу время в кругу двух-трех сотен людей, которые занимаются тем же. Мне нравятся актеры, которые афишируют свою гетеросексуальность и которых не считают геями, параноиками, приверженцами культа карликов.
	3102AF34	Выживание в этой стране.
	33229D99	Натурал
	32FF15C7	Разве не все мы божьи дети?
	2DC14C84	Хочу очутиться в объятиях
	2B7A0F6D	Тех, кто не тусуется.
	308EC980	Стройная
	2E208884	В Брокере (но я перебираюсь в Европу)
	346D7877	OOOOO-Oooo-ааааа
	3B4BE9D8	Когда берешь бочонок, а там только пена... А что, пена тоже ничего! У-у-у-у! Йе-е! Однажды видел щенка типа такого, трехногого - вот отстой. Мой придурочный братан вроде как богема, вечно зовет меня тупым. Девчонкам нравятся пацаны, которые пьют пиво! Йе-е-е!
	3B14794D	Либерти-Сити
	41C66BEF	Крепкое и удобное
	3C8FB073	Натурал
	3755E1C0	Импорт-экспорт
	34C73B12	Оскар Уайлд
	399C2BB1	Сиськи. Людей, которые не качают мышцы.
	37E38004	Мой принцип: интернет создан для клевых фоток про то, как мы с чуваками расслабляемся!!! Однажды я за день выпил десять банок "спранка", обожаю эту дрянь!
