# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	7250BD64	Come on. You're acting crazy. You aren't being watched by government spies. Your phone isn't tapped. You don't need to drink that bottled water or eat from those tins because no one wants to poison you. Please get that into your head. Anyway, of course I'll meet you. I'll be outside the jewellery shop off Tulsa Street later on.
	74E509B7	See you,
	6332E653	See you,
	6E087C56	Oleg,
	F9A6133B	See you,
	FCB899B8	Oleg,
	AB88F752	Oleg,
	EE73FD2F	Oleg,
	58AB519C	Oleg,
	1A095401	See you,
	26F8EE38	Oleg,
	0B5BB6A6	See you,
	11C1C3CA	Oleg,
	4B71B729	Oleg,
	506740BC	See you,
	2FE77FBD	See you,
	3EA01D2E	See you,
