# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	C3B386BF	I am Mr.Luke Mark the five. an Auditor of a BANK OF THE NORTH INTERNATIONAL,BULIMIA (FACT). I have the courage to crave indulgence and omnipresent lighting for this important business
	CF15225A	Yours,
	9BD4C0AA	Dear Sir/M
	AD896413	Dear Sir/M
	E383CB33	Yours,
	F9DB730E	believing that you will never let me down either now or in the future or fuck my girlfriend or call her fat. Some years ago, an American Mining consultant/ contractor with the Nigeria National Petroleum Oil and Fossilized Feces Corporation
	FCCC7DC8	Yours,
	EE855C62	I shall require your assistance to invest some of my share in your country. I look forward to your earliest reply
	F6A0F645	Dear Sir/M
	89691BD3	Dear Sir/M
	214F46CD	Yours,
	33A16B71	Yours,
	044D8CCA	Yours,
	1C234165	Dear Sir/M
	40318965	Dear Sir/M
	76AB7658	Dear Sir/M
	7980772E	Yours,
	64F8D2F3	Dear Sir/M
	67AAD383	Yours,
