# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	8D5FE66E	CALL - 265-555-2423
	AC9A4755	2003 FELTZER 3.8 Supercharged V8
	CB95B99B	Stunning Black metallic, alloys, front driving lamps, full electrics, CD Player, central locking, exceptional condition throughout.
	64BFE4C8	2001 TURISMO 4.0l Quad Cam V8
	7DBC4723	$42999
	8A58E05C	CALL - 265-555-2423
	F4910470	2006 PMP600 600ci V8 Semi
	F73A09BE	2001 BANSHEE 300ci V8 Twin Turbo GT
	FC5D1B39	Automatic, Diesel, 8000 miles, Metallic Silver. Leather seats, ABS, Air conditioning, Alloy wheels, CD Multichanger, Cruise control, Heated seats, Multi function steering wheel, Navigation system, Park distance control.
	D06B4346	2 Doors, Manual 5 speed, Petrol, 26,000 miles, Rosso Red, Adjustable seats, Alloy wheels, CD Player, Central locking, Electric windows, Cream Leather. Rear Spoiler and ABS.
	E154E519	Automatic, 37,000 miles, Metallic Silver. Air-Conditioning, ABS, Alloy wheels, Cruise control, Full service history, Leather seats.
	EE55BA40	VIEW CARS
	61168DD8	$62995
	1EF2C658	CONTACT US
	22CBE0E5	2001 SCHAFTER 6.5l V12 SC
	245AEB24	4 Doors, Manual, 26,000 miles, Metallic Turquoise. 12 months parts and labor warranty. Insurance. 0% DEPOSIT finance available. Ask Derek for full quotation. Licensed credit broker. Written details available.
	00022197	HOME
	0631AED2	Adjustable seats, Air conditioning, Alloy wheels, CD Player, Central locking, Electric mirrors, Electric windows, Full service history, Leather upholstery, Immobilizer.
	08DCAD03	2003 INTRUDER 4.3l V8 Limited
	2FDB3E02	Air conditioning, Alarm, Body colored bumpers, Drivers airbag, Electric door mirrors. 1 previous owner. CD/cassete, mint condition. All enquiries / viewing must be between 8am to 9pm.
	377D3AAA	$130995
	54064355	2004 PRESIDENTE 4.5l V10
	25F0B05F	CALL - 662-555-0147
	26BB9927	CALL - 265-555-2423
	2AB10C5B	ABOUT
